Data do Acidente,Latitude,Longitude,Condições Climáticas,Hora
2020-07-16,"-23,60302338256648","-46,91652616043895",NUBLADO,2
2020-07-14,"-23,629325","-46,667367",NUBLADO,16
2020-07-12,"-23,576816","-46,670862",BOM,14
2020-07-12,"-23,550125","-46,393045",BOM,15
2020-07-11,"-23,531349","-46,436606",NUBLADO,14
2020-07-11,"-23,573803","-46,475563",BOM,2
2020-07-11,"-23,64856","-46,758239",BOM,1
2020-07-10,"-23,509095","-46,870002",BOM,17
2020-07-06,"-23,750223","-46,547459",BOM,4
2020-07-03,"-23,466400295928146","-46,57149451647865",NUBLADO,18
2020-06-21,"-23,496377163378952","-46,75484240663746",BOM,7
2020-06-18,"-23,657397","-46,99909",BOM,19
2020-06-15,"-23,482183","-46,720128",NUBLADO,18
2020-06-15,"-23,458611","-46,685805",NUBLADO,18
2020-06-15,"-23,571621","-46,195012",NUBLADO,2
2020-06-14,"-23,672128","-46,435392",NUBLADO,0
2020-06-13,"-23,548864","-46,203426",NUBLADO,23
2020-06-07,"-23,634419","-46,782247",BOM,19
2020-06-06,"-23,711442","-46,418489",BOM,7
2020-06-04,"-23,637536","-46,542764",NUBLADO,6
2020-06-02,"-23,576598","-46,526697",NUBLADO,18
2020-06-02,"-23,861224","-46,935172",NUBLADO,15
2020-06-01,"-23,324343","-46,758404",BOM,18
2020-05-31,"-23,50325008557157","-46,821557128108886",BOM,9
2020-05-30,"-23,796603","-46,730562",BOM,20
2020-05-29,"-23,514768","-46,699788",BOM,14
2020-05-28,"-23,549605","-46,483305",BOM,3
2020-05-28,"-23,266999","-46,741487",BOM,15
2020-05-27,"-23,542362","-46,417599",BOM,17
2020-05-24,"-23,414347","-46,508601",NUBLADO,6
2020-05-23,"-23,521811","-46,860326",NUBLADO,9
2020-05-22,"-23,296372","-46,73748",NUBLADO,13
2020-05-20,"-23,675159","-46,747253",BOM,22
2020-05-20,"-23,63764","-46,75043",BOM,23
2020-05-17,"-23,673734","-46,773611",BOM,2
2020-05-17,"-23,61537","-46,457072",BOM,19
2020-05-17,"-23,77309","-46,612479",BOM,1
2020-05-15,"-23,514278","-46,723932",NUBLADO,12
2020-05-14,"-23,437277","-46,562486",BOM,3
2020-05-13,"-23,581653","-46,553438",BOM,19
2020-05-13,"-23,584194","-46,576004",BOM,21
2020-05-13,"-23,6524417","-46,6338782",BOM,6
2020-05-09,"-23,733436","-46,543202",NUBLADO,4
2020-05-09,"-23,304033","-46,811314",BOM,11
2020-05-08,"-23,691915","-46,55631",NUBLADO,14
2020-05-07,"-23,676325","-46,647902",NUBLADO,21
2020-05-06,"-23,418102298841816","-46,37791152937248",BOM,9
2020-05-03,"-23,560518","-46,456329",NUBLADO,15
2020-05-03,"-23,422374","-46,851575",NUBLADO,12
2020-05-02,"-23,525913","-46,438689",NUBLADO,12
2020-05-02,"-23,596399","-46,527455",NUBLADO,13
2020-05-02,"-23,602612","-46,449027",NUBLADO,14
2020-05-02,"-23,601528","-46,436181",NUBLADO,13
2020-05-02,"-23,658342","-46,428622",NUBLADO,0
2020-04-30,"-23,429836","-46,50151",BOM,15
2020-04-30,"-23,519595","-46,890686",BOM,21
2020-04-29,"-23,464867","-46,632645",BOM,22
2020-04-25,"-23,665307","-46,501094",NUBLADO,17
2020-04-25,"-23,51786","-46,835231",BOM,10
2020-04-24,"-23,509518","-46,191315",NUBLADO,0
2020-04-21,"-23,549396","-46,777401",NUBLADO,17
2020-04-19,"-23,682639","-46,648853",NUBLADO,22
2020-04-19,"-23,660122","-46,474732",BOM,5
2020-04-13,"-23,519589","-46,890646",NUBLADO,13
2020-04-12,"-23,357009892046243","-46,74615483608304",NUBLADO,6
2020-04-06,"-23,734869","-46,77816",NUBLADO,6
2020-04-06,"-23,668211","-46,605943",BOM,1
2020-04-06,"-23,438343","-46,574401",BOM,21
2020-04-05,"-23,577586","-46,843656",BOM,15
2020-04-05,"-23,621507","-46,785539",NUBLADO,0
2020-03-31,"-23,520438","-46,514794",NUBLADO,6
2020-03-29,"-23,680325","-46,713075",NUBLADO,14
2020-03-28,"-23,44575","-46,706297",BOM,23
2020-03-28,"-23,545501","-46,580077",NUBLADO,22
2020-03-28,"-23,669206","-46,607516",BOM,20
2020-03-24,"-23,483308","-46,356049",NUBLADO,20
2020-03-23,"-23,546533","-46,570836",NUBLADO,4
2020-03-19,"-23,63772","-46,627176",BOM,14
2020-03-16,"-23,718104","-46,703388",BOM,1
2020-03-15,"-23,547699","-46,44908",NUBLADO,17
2020-03-15,"-23,619496","-46,524992",NUBLADO,18
2020-03-15,"-23,561173","-46,939619",BOM,0
2020-03-14,"-23,637580465689986","-46,83220116398443",NUBLADO,3
2020-03-12,"-23,558281","-46,577815",BOM,13
