,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
218,5095,AVENIDA NORDESTINA,977,SAO PAULO,"AVENIDA NORDESTINA, 977, SAO PAULO","[-23.5026433802915, -46.4412478802915]"
219,5103,RUA SAO BENTO,673,OSASCO,"RUA SAO BENTO, 673, OSASCO","[-23.5377216802915, -46.81777788029149]"
220,5158,AVENIDA GUILHERME,323,SAO PAULO,"AVENIDA GUILHERME, 323, SAO PAULO","[-23.5210213802915, -46.60815428029151]"
221,5210,AVENIDA MARECHAL TITO,6403,SAO PAULO,"AVENIDA MARECHAL TITO, 6403, SAO PAULO","[-23.4923551802915, -46.38812118029149]"
222,5212,AVENIDA DO ORATORIO,2022,SAO PAULO,"AVENIDA DO ORATORIO, 2022, SAO PAULO","[-23.5929580802915, -46.55097738029149]"
223,5216,RUA JOSE MANOEL DE ALMEIDA,10,VARGEM GRANDE PAULISTA,"RUA JOSE MANOEL DE ALMEIDA, 10, VARGEM GRANDE PAULISTA","[-23.6165550802915, -47.00550948029149]"
224,5224,RUA AFONSINA,0,SAO BERNARDO DO CAMPO,"RUA AFONSINA, 0, SAO BERNARDO DO CAMPO","[-23.6559474802915, -46.5701063802915]"
225,5238,VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO,100,SAO PAULO,"VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO, 100, SAO PAULO","[-23.5446589802915, -46.4117957802915]"
226,5305,AVENIDA CORONEL SEZEFREDO FAGUNDES,20980,SAO PAULO,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 20980, SAO PAULO","[-23.40434178029151, -46.5785021802915]"
227,5313,AVENIDA IPIRANGA,0,SAO PAULO,"AVENIDA IPIRANGA, 0, SAO PAULO","[-23.5436580802915, -46.6416157802915]"
228,5314,AVENIDA DO ORATORIO,2636,SAO PAULO,"AVENIDA DO ORATORIO, 2636, SAO PAULO","[-23.5948487802915, -46.5461618802915]"
229,5318,AVENIDA RIO DAS PEDRAS,219,SAO PAULO,"AVENIDA RIO DAS PEDRAS, 219, SAO PAULO","[-23.5612231802915, -46.5211843802915]"
230,5328,AVENIDA DOM PEDRO II,2990,SANTO ANDRE,"AVENIDA DOM PEDRO II, 2990, SANTO ANDRE","[-23.6325550802915, -46.54773518029151]"
231,5337,VIADUTO VINTE E CINCO DE MARCO,1,SAO PAULO,"VIADUTO VINTE E CINCO DE MARCO, 1, SAO PAULO","[-23.54984, -46.6292074]"
232,5338,AVENIDA ADELIA CHOHFI,9800,SAO PAULO,"AVENIDA ADELIA CHOHFI, 9800, SAO PAULO","[-23.6219449802915, -46.4794875802915]"
233,5340,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]"
234,5344,RUA ITAPECERICA DA SERRA,8000,SAO PAULO,"RUA ITAPECERICA DA SERRA, 8000, SAO PAULO","[-23.6692966, -46.65920928029149]"
235,5349,RUA STELA MARIS,172,GUARULHOS,"RUA STELA MARIS, 172, GUARULHOS","[-23.4795488302915, -46.5509328302915]"
236,5351,RUA MIRANDINHA,737,SAO PAULO,"RUA MIRANDINHA, 737, SAO PAULO","[-23.5300409802915, -46.53734788029149]"
237,5354,AVENIDA LUIZ GUSHIKEN,100,SAO PAULO,"AVENIDA LUIZ GUSHIKEN, 100, SAO PAULO","[-23.6725583802915, -46.7431112802915]"
238,5402,RUA MIGUEL YUNES,1,SAO PAULO,"RUA MIGUEL YUNES, 1, SAO PAULO","[-23.6940038802915, -46.6811599802915]"
239,5404,RUA VOLUNTARIOS DA PATRIA,3813,SAO PAULO,"RUA VOLUNTARIOS DA PATRIA, 3813, SAO PAULO","[-23.4883943802915, -46.62854488029149]"
240,5406,AVENIDA CAMINHO DO MAR,2455,SAO BERNARDO DO CAMPO,"AVENIDA CAMINHO DO MAR, 2455, SAO BERNARDO DO CAMPO","[-23.6668974802915, -46.5705200802915]"
241,5414,ESTRADA CANAL DE COCAIA,4700,SAO PAULO,"ESTRADA CANAL DE COCAIA, 4700, SAO PAULO","[-23.7305878802915, -46.6640490802915]"
242,5425,RUA VEREADOR JORGE DE SOUZA,2680,EMBU DAS ARTES,"RUA VEREADOR JORGE DE SOUZA, 2680, EMBU DAS ARTES","[-23.6574673, -46.8591989]"
243,5478,ESTACAO METRO BELEM,100,SAO PAULO,"ESTACAO METRO BELEM, 100, SAO PAULO","[-23.5440635802915, -46.59097358029151]"
244,5483,ALAMEDA DOM PEDRO DE ALCANTARA,1462,SAO BERNARDO DO CAMPO,"ALAMEDA DOM PEDRO DE ALCANTARA, 1462, SAO BERNARDO DO CAMPO","[-23.7124677302915, -46.53169758029149]"
245,5484,ESTRADA DOS ALVARENGAS,495,SAO BERNARDO DO CAMPO,"ESTRADA DOS ALVARENGAS, 495, SAO BERNARDO DO CAMPO","[-23.7296588802915, -46.5783548802915]"
246,5489,AVENIDA SAO JOSE,826,OSASCO,"AVENIDA SAO JOSE, 826, OSASCO","[-23.5172331802915, -46.76811998029149]"
247,5555,AVENIDA VEREADOR JOAO DE LUCA,100,SAO PAULO,"AVENIDA VEREADOR JOAO DE LUCA, 100, SAO PAULO","[-23.6464494802915, -46.67339528029149]"
248,5556,RUA ORATORIO,1587,SANTO ANDRE,"RUA ORATORIO, 1587, SANTO ANDRE","[-23.6390277302915, -46.5194375802915]"
