Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
27161,AVENIDA OTAVIO BRAGA DE MESQUITA,100.0,GUARULHOS,"AVENIDA OTAVIO BRAGA DE MESQUITA, 100, GUARULHOS","[-23.4318997802915, -46.5039050802915]"
27166,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100.0,SAO BERNARDO DO CAMPO,"AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 100, SAO BERNARDO DO CAMPO","[-23.6958294802915, -46.58590498029151]"
27304,AVENIDA MARGINAL,96.0,CARAPICUIBA,"AVENIDA MARGINAL, 96, CARAPICUIBA","[-23.5355318802915, -46.84880808029149]"
27324,Avenida Marginal Tietê Central,6.0,SAO PAULO,"Avenida Marginal Tietê Central, 6, SAO PAULO","[-23.5200521802915, -46.6249066802915]"
27404,RUA ANTONIO IERVOLINO,2.0,GUARULHOS,"RUA ANTONIO IERVOLINO, 2, GUARULHOS","[-23.4758639802915, -46.53519528029151]"
27406,AVENIDA CORIFEU DE AZEVEDO MARQUES,3937.0,SAO PAULO,"AVENIDA CORIFEU DE AZEVEDO MARQUES, 3937, SAO PAULO","[-23.5644795802915, -46.7480881802915]"
27408,Rodovia Régis Bittencourt,10.0,EMBU DAS ARTES,"Rodovia Régis Bittencourt, 10, EMBU DAS ARTES","[-23.6572079802915, -46.85138138029149]"
27410,RUA ANTONIO JOAO DE MEDEIROS,100.0,SAO PAULO,"RUA ANTONIO JOAO DE MEDEIROS, 100, SAO PAULO","[-23.5046507802915, -46.3991495802915]"
27417,AVENIDA JABAQUARA,100.0,SAO PAULO,"AVENIDA JABAQUARA, 100, SAO PAULO","[-23.6062498802915, -46.63851888029149]"
27419,AVENIDA INOCENCIO SERAFICO,5230.0,CARAPICUIBA,"AVENIDA INOCENCIO SERAFICO, 5230, CARAPICUIBA","[-23.5643578802915, -46.8354459802915]"
27487,AVENIDA ARICANDUVA,12000.0,SAO PAULO,"AVENIDA ARICANDUVA, 12000, SAO PAULO","[-23.5968396802915, -46.46750418029151]"
27491,AVENIDA SAO GUALTER,1296.0,SAO PAULO,"AVENIDA SAO GUALTER, 1296, SAO PAULO","[-23.5478932802915, -46.71215523029149]"
27497,RUA AMADOR BUENO,3019.0,SAO PAULO,"RUA AMADOR BUENO, 3019, SAO PAULO","[-23.6542073802915, -46.7170297]"
27504,AVENIDA CALIM EID,511.0,SAO PAULO,"AVENIDA CALIM EID, 511, SAO PAULO","[-23.5216280802915, -46.50892648029149]"
27512,AVENIDA SAO MIGUEL,7710.0,SAO PAULO,"AVENIDA SAO MIGUEL, 7710, SAO PAULO","[-23.4996042802915, -46.4635695802915]"
27525,RUA DANIEL PEREIRA,180.0,SAO PAULO,"RUA DANIEL PEREIRA, 180, SAO PAULO","[-23.4667284802915, -46.6792150802915]"
27581,ESTRADA DE SANTA ISABEL,10.0,ARUJA,"ESTRADA DE SANTA ISABEL, 10, ARUJA","[-23.4461028802915, -46.3263243802915]"
27594,RUA ILHA BELA,528.0,SANTO ANDRE,"RUA ILHA BELA, 528, SANTO ANDRE","[-23.6527289802915, -46.5553536802915]"
27599,ESTRADA TURISTICA DO JARAGUA,1551.0,SAO PAULO,"ESTRADA TURISTICA DO JARAGUA, 1551, SAO PAULO","[-23.4825240802915, -46.75672823029149]"
27660,AVENIDA TIRADENTES,0.0,SAO PAULO,"AVENIDA TIRADENTES, 0, SAO PAULO","[-23.5297050802915, -46.6325387802915]"
27670,PARQUE DOM PEDRO II,100.0,SAO PAULO,"PARQUE DOM PEDRO II, 100, SAO PAULO","[-23.5447828802915, -46.63109538029151]"
27672,RUA INAJA,268.0,EMBU DAS ARTES,"RUA INAJA, 268, EMBU DAS ARTES","[-23.6483490802915, -46.80169018029149]"
27686,RUA PEDRO VICENTE,1.0,SAO PAULO,"RUA PEDRO VICENTE, 1, SAO PAULO","[-23.5268208802915, -46.6303044802915]"
27747,Avenida Assis Chateaubriand,242.0,SAO PAULO,"Avenida Assis Chateaubriand, 242, SAO PAULO","[-23.5191303802915, -46.6356101802915]"
27748,AVENIDA SANTOS DUMONT,10.0,SAO PAULO,"AVENIDA SANTOS DUMONT, 10, SAO PAULO","[-23.52792448029151, -46.6323414802915]"
27760,RUA MARIA CANDIDA,0.0,SAO PAULO,"RUA MARIA CANDIDA, 0, SAO PAULO","[-23.5079146802915, -46.6035750802915]"
27764,Rodovia Presidente Dutra,1000.0,GUARULHOS,"Rodovia Presidente Dutra, 1000, GUARULHOS","[-23.4468997802915, -46.4526716802915]"
27800,AVENIDA LOURENCO BELOLI,100.0,OSASCO,"AVENIDA LOURENCO BELOLI, 100, OSASCO","[-23.5028588802915, -46.7845270802915]"
27805,ESTRADA SAO MARCOS,36.0,EMBU DAS ARTES,"ESTRADA SAO MARCOS, 36, EMBU DAS ARTES","[-23.6593162302915, -46.8158399802915]"
27806,Rodovia Hélio Smidt,2.0,GUARULHOS,"Rodovia Hélio Smidt, 2, GUARULHOS","[-23.4627889802915, -46.4920701802915]"
27847,AVENIDA DO TABOAO,2.0,SAO BERNARDO DO CAMPO,"AVENIDA DO TABOAO, 2, SAO BERNARDO DO CAMPO","[-23.6493634802915, -46.58090473029149]"
27914,AVENIDA DONA BELMIRA MARIN,1358.0,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 1358, SAO PAULO","[-23.7432508302915, -46.69342303029151]"
27916,ACESSO DOUTOR EDUARDO COTCHING,1810.0,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 1810, SAO PAULO","[-23.56711078029151, -46.5463896802915]"
27931,AVENIDA DOUTOR CANDIDO MOTTA FILHO,829.0,SAO PAULO,"AVENIDA DOUTOR CANDIDO MOTTA FILHO, 829, SAO PAULO","[-23.5605852802915, -46.76382518029149]"
27937,AVENIDA NOVE DE JULHO,10.0,SAO PAULO,"AVENIDA NOVE DE JULHO, 10, SAO PAULO","[-23.5498509802915, -46.6404545802915]"
27955,ALAMEDA AMERICA,60.0,SANTANA DE PARNAIBA,"ALAMEDA AMERICA, 60, SANTANA DE PARNAIBA","[-23.4789784802915, -46.8327017802915]"
27957,AVENIDA CARLOS CALDEIRA FILHO,1.0,SAO PAULO,"AVENIDA CARLOS CALDEIRA FILHO, 1, SAO PAULO","[-23.6410534802915, -46.7463308802915]"
28002,AVENIDA INAJAR DE SOUZA,3000.0,SAO PAULO,"AVENIDA INAJAR DE SOUZA, 3000, SAO PAULO","[-23.4837754802915, -46.6776817802915]"
28006,PRACA QUATORZE BIS,26.0,SAO PAULO,"PRACA QUATORZE BIS, 26, SAO PAULO","[-23.5567408802915, -46.65127778029149]"
28022,RUA HEITOR PENTEADO,499.0,SANTO ANDRE,"RUA HEITOR PENTEADO, 499, SANTO ANDRE","[-23.7065556802915, -46.5161233802915]"
28032,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2015.0,SAO PAULO,"AVENIDA DEPUTADO CANTIDIO SAMPAIO, 2015, SAO PAULO","[-23.4639813302915, -46.6851325302915]"
28145,AVENIDA DOUTOR CHUCRI ZAIDAN,100.0,SAO PAULO,"AVENIDA DOUTOR CHUCRI ZAIDAN, 100, SAO PAULO","[-23.6168173802915, -46.6983979802915]"
28155,RUA DAS TRES MARIAS,1.0,SAO PAULO,"RUA DAS TRES MARIAS, 1, SAO PAULO","[-23.7038431802915, -46.7846300802915]"
28161,RUA ESTEVAN DE ALMEIDA,99.0,FRANCISCO MORATO,"RUA ESTEVAN DE ALMEIDA, 99, FRANCISCO MORATO","[-23.2897165802915, -46.7329713802915]"
28179,PONTE DO LIMAO,10.0,SAO PAULO,"PONTE DO LIMAO, 10, SAO PAULO","[-23.5171690802915, -46.6681427802915]"
28231,AVENIDA DIEDERICHSEN,1307.0,SAO PAULO,"AVENIDA DIEDERICHSEN, 1307, SAO PAULO","[-23.6347024802915, -46.6382993802915]"
28237,AVENIDA DO ESTADO,4531.0,SAO PAULO,"AVENIDA DO ESTADO, 4531, SAO PAULO","[-23.5552810802915, -46.6262096802915]"
28240,AVENIDA ROQUE PETRONI JUNIOR,100.0,SAO PAULO,"AVENIDA ROQUE PETRONI JUNIOR, 100, SAO PAULO","[-23.6269995802915, -46.6892501802915]"
28296,RUA ASCENSO FERNANDES,127.0,SAO PAULO,"RUA ASCENSO FERNANDES, 127, SAO PAULO","[-23.4797708802915, -46.4254728802915]"
28298,AVENIDA PROFESSOR EDGAR SANTOS,2647.0,SAO PAULO,"AVENIDA PROFESSOR EDGAR SANTOS, 2647, SAO PAULO","[-23.5540262, -46.5018235]"
28304,AVENIDA JOAO DIAS,100.0,SAO PAULO,"AVENIDA JOAO DIAS, 100, SAO PAULO","[-23.6453355802915, -46.7036504802915]"
28305,AVENIDA DONA BELMIRA MARIN,2578.0,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 2578, SAO PAULO","[-23.7566710802915, -46.67812678029149]"
28364,ACESSO DOUTOR EDUARDO COTCHING,586.0,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 586, SAO PAULO","[-23.5641896802915, -46.5561083802915]"
28383,RUA MARINOPOLIS,0.0,GUARULHOS,"RUA MARINOPOLIS, 0, GUARULHOS","[-23.4234907802915, -46.4302538802915]"
28391,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,1.0,MAUA,"AVENIDA GOVERNADOR MARIO COVAS JUNIOR, 1, MAUA","[-23.6667283802915, -46.4617416802915]"
28454,RUA PRESIDENTE CAMPOS SALLES,0.0,MOGI DAS CRUZES,"RUA PRESIDENTE CAMPOS SALLES, 0, MOGI DAS CRUZES","[-23.5218522802915, -46.2039401802915]"
28455,RUA AGUA BRANCA,304.0,EMBU DAS ARTES,"RUA AGUA BRANCA, 304, EMBU DAS ARTES","[-23.6550290802915, -46.8040372302915]"
28467,RUA PIAUI,100.0,BARUERI,"RUA PIAUI, 100, BARUERI","[-23.5168910802915, -46.85895008029149]"
28470,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855.0,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 5855, SANTO ANDRE","[-23.7052783302915, -46.5055715302915]"
28525,ACESSO DOUTOR EDUARDO COTCHING,1800.0,SAO PAULO,"ACESSO DOUTOR EDUARDO COTCHING, 1800, SAO PAULO","[-23.5670631802915, -46.5464892802915]"
28527,Avenida Engenheiro Billings,514.0,SAO PAULO,"Avenida Engenheiro Billings, 514, SAO PAULO","[-23.5357474802915, -46.7497367802915]"
28587,ACESSO AVENIDA ENGENHEIRO OLAVO ALAISIO DE LIMA,243.0,SANTO ANDRE,"ACESSO AVENIDA ENGENHEIRO OLAVO ALAISIO DE LIMA, 243, SANTO ANDRE","[-23.6326372802915, -46.5288217802915]"
28617,ACESSO JD PARANAVAI  V NOVA MAUA,0.0,MAUA,"ACESSO JD PARANAVAI  V NOVA MAUA, 0, MAUA","[-23.6837382802915, -46.46264118029149]"
28619,Rodovia João Afonso de Souza Castellano,10.0,ITAQUAQUECETUBA,"Rodovia João Afonso de Souza Castellano, 10, ITAQUAQUECETUBA","[-23.5102699802915, -46.3433827802915]"
28668,AVENIDA MARCO ANTONIO CALEGARI,100.0,BARUERI,"AVENIDA MARCO ANTONIO CALEGARI, 100, BARUERI","[-23.5274237, -46.8640458]"
28678,AVENIDA GOVERNADOR MARIO COVAS JUNIOR,10.0,MAUA,"AVENIDA GOVERNADOR MARIO COVAS JUNIOR, 10, MAUA","[-23.6684176802915, -46.46113058029151]"
