Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
28683,ACESSO CANAL DE COCAIA,4006.0,SAO PAULO,"ACESSO CANAL DE COCAIA, 4006, SAO PAULO","[-23.7351079802915, -46.6650144802915]"
28740,AVENIDA BRIGADEIRO LUIS ANTONIO,3875.0,SAO PAULO,"AVENIDA BRIGADEIRO LUIS ANTONIO, 3875, SAO PAULO","[-23.5794650302915, -46.6612297302915]"
28816,RUA DA GOIABEIRA SERRANA,608.0,SAO PAULO,"RUA DA GOIABEIRA SERRANA, 608, SAO PAULO","[-23.4832272802915, -46.4142171802915]"
28929,AVENIDA FRANCISCO MATARAZZO,774.0,SAO PAULO,"AVENIDA FRANCISCO MATARAZZO, 774, SAO PAULO","[-23.5291152802915, -46.6712396802915]"
28938,AVENIDA DO ESTADO,1.0,SAO PAULO,"AVENIDA DO ESTADO, 1, SAO PAULO","[-23.5439561802915, -46.6303855802915]"
28941,RUA DOUTOR WASHIGNTON PEDRO LANZELOTI,1500.0,OSASCO,"RUA DOUTOR WASHIGNTON PEDRO LANZELOTI, 1500, OSASCO","[-23.5734936802915, -46.8030384802915]"
29008,AVENIDA ARICANDUVA,10800.0,SAO PAULO,"AVENIDA ARICANDUVA, 10800, SAO PAULO","[-23.5918318802915, -46.4794827802915]"
29014,RUA ESTADOS UNIDOS,170.0,SAO PAULO,"RUA ESTADOS UNIDOS, 170, SAO PAULO","[-23.5764517802915, -46.66060428029149]"
29106,ESTRADA DE ITAPECERICA,10000.0,SAO PAULO,"ESTRADA DE ITAPECERICA, 10000, SAO PAULO","[-23.6867558802915, -46.8020293802915]"
29155,AVENIDA ARICANDUVA,12200.0,SAO PAULO,"AVENIDA ARICANDUVA, 12200, SAO PAULO","[-23.5945250802915, -46.47165278029149]"
29168,RUA TALES DOS SANTOS FREIRE,904.0,SAO BERNARDO DO CAMPO,"RUA TALES DOS SANTOS FREIRE, 904, SAO BERNARDO DO CAMPO","[-23.6856877802915, -46.5463285802915]"
29185,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,385.0,SAO PAULO,"ACESSO AVENIDA MARGINAL DO RIO PINHEIROS, 385, SAO PAULO","[-23.5737126802915, -46.7015845802915]"
29235,RUA SANTO EURILO,360.0,SAO PAULO,"RUA SANTO EURILO, 360, SAO PAULO","[-23.5554386302915, -46.7437402302915]"
29242,Rodovia Hélio Smidt,2.0,GUARULHOS,"Rodovia Hélio Smidt, 2, GUARULHOS","[-23.4627889802915, -46.4920701802915]"
29273,RUA VICENTE PIRES DOS SANTOS,804.0,TABOAO DA SERRA,"RUA VICENTE PIRES DOS SANTOS, 804, TABOAO DA SERRA","[-23.6329240802915, -46.8061252802915]"
29276,AVENIDA JORNALISTA ROBERTO MARINHO,100.0,SAO PAULO,"AVENIDA JORNALISTA ROBERTO MARINHO, 100, SAO PAULO","[-23.6197877802915, -46.68447208029149]"
29281,RUA NOVA DO TUPAROQUERA,855.0,SAO PAULO,"RUA NOVA DO TUPAROQUERA, 855, SAO PAULO","[-23.6635989802915, -46.7392951802915]"
29324,AVENIDA TIRADENTES,100.0,GUARULHOS,"AVENIDA TIRADENTES, 100, GUARULHOS","[-23.4736153802915, -46.5337299802915]"
29327,AVENIDA JOAO DIAS,100.0,SAO PAULO,"AVENIDA JOAO DIAS, 100, SAO PAULO","[-23.6453355802915, -46.7036504802915]"
29328,ACESSO DOUTOR ASSIS RIBEIRO,7750.0,SAO PAULO,"ACESSO DOUTOR ASSIS RIBEIRO, 7750, SAO PAULO","[-23.4997139802915, -46.5210269802915]"
29433,RUA VEREADOR JOAO BATISTA FITIPALDI,1137.0,SUZANO,"RUA VEREADOR JOAO BATISTA FITIPALDI, 1137, SUZANO","[-23.5266574802915, -46.30571998029149]"
29506,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,1.0,SAO BERNARDO DO CAMPO,"ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO, 1, SAO BERNARDO DO CAMPO","[-23.7255091802915, -46.5572602802915]"
29550,ACESSO SEBASTIANA FELIX RIBEIRO,7.0,CAJAMAR,"ACESSO SEBASTIANA FELIX RIBEIRO, 7, CAJAMAR","[-23.3632739802915, -46.8718055802915]"
29564,AVENIDA FERNANDO NOBRE,1332.0,COTIA,"AVENIDA FERNANDO NOBRE, 1332, COTIA","[-23.5851234802915, -46.88354078029151]"
29581,ACESSO  M BOI MIRIM,4415.0,SAO PAULO,"ACESSO  M BOI MIRIM, 4415, SAO PAULO","[-23.6866538302915, -46.77124278029149]"
29618,RUA DOUTOR DEODATO WERTHEIMER,0.0,MOGI DAS CRUZES,"RUA DOUTOR DEODATO WERTHEIMER, 0, MOGI DAS CRUZES","[-23.5261104802915, -46.19563918029149]"
29619,AVENIDA VILA EMA,6143.0,SAO PAULO,"AVENIDA VILA EMA, 6143, SAO PAULO","[-23.5968803802915, -46.52594798029151]"
29622,RUA ALVINOPOLIS,10.0,SAO PAULO,"RUA ALVINOPOLIS, 10, SAO PAULO","[-23.5348218802915, -46.5469898802915]"
29677,AVENIDA ARICANDUVA,12000.0,SAO PAULO,"AVENIDA ARICANDUVA, 12000, SAO PAULO","[-23.5968396802915, -46.46750418029151]"
29695,ACESSO AVENIDA JACUPESSEGO,100.0,SAO PAULO,"ACESSO AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]"
29719,AVENIDA CONDE DE FRONTIN,10.0,SAO PAULO,"AVENIDA CONDE DE FRONTIN, 10, SAO PAULO","[-23.5383987802915, -46.55935968029149]"
29764,AVENIDA SAPOPEMBA,22000.0,SAO PAULO,"AVENIDA SAPOPEMBA, 22000, SAO PAULO","[-23.6208641802915, -46.44109548029151]"
29765,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,100.0,OSASCO,"ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA, 100, OSASCO","[-23.5286264802915, -46.79318368029149]"
29773,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,100.0,SAO PAULO,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 100, SAO PAULO","[-23.6333669802915, -46.64819018029149]"
29783,ACESSO TUNEL DOUTOR ARNALDO,10.0,SAO PAULO,"ACESSO TUNEL DOUTOR ARNALDO, 10, SAO PAULO","[-23.5572241802915, -46.66785128029149]"
29815,AVENIDA MARIA SERVIDEI DEMARCHE,100.0,SAO BERNARDO DO CAMPO,"AVENIDA MARIA SERVIDEI DEMARCHE, 100, SAO BERNARDO DO CAMPO","[-23.7269727302915, -46.55450003029149]"
29872,AVENIDA DONA BELMIRA MARIN,100.0,SAO PAULO,"AVENIDA DONA BELMIRA MARIN, 100, SAO PAULO","[-23.7346261802915, -46.6989712802915]"
29884,RUA JOAO TEODORO,0.0,SAO PAULO,"RUA JOAO TEODORO, 0, SAO PAULO","[-23.5368445802915, -46.6228275802915]"
29945,ACESSO RADIAL LESTE  CENTRO,1.2,SAO PAULO,"ACESSO RADIAL LESTE  CENTRO, 1.2, SAO PAULO","[-23.5663706, -46.6367462]"
29988,PRACA CAMPO DE BAGATELLE,100.0,SAO PAULO,"PRACA CAMPO DE BAGATELLE, 100, SAO PAULO","[-23.51640208029151, -46.62963248029149]"
30007,AVENIDA SAPOPEMBA,25550.0,SAO PAULO,"AVENIDA SAPOPEMBA, 25550, SAO PAULO","[-23.6211162302915, -46.4567462302915]"
30011,ACESSO CUPECE,1689.0,SAO PAULO,"ACESSO CUPECE, 1689, SAO PAULO","[-23.6599296802915, -46.6676211802915]"
30050,RUA DAS JUNTAS PROVISORIAS,10.0,SAO PAULO,"RUA DAS JUNTAS PROVISORIAS, 10, SAO PAULO","[-23.58792848029151, -46.5999115802915]"
30052, Rodovia Caminho do Mar,29.0,SAO BERNARDO DO CAMPO," Rodovia Caminho do Mar, 29, SAO BERNARDO DO CAMPO","[-23.7926516802915, -46.5061971802915]"
30062,PRACA LEONOR KAUPA,10.0,SAO PAULO,"PRACA LEONOR KAUPA, 10, SAO PAULO","[-23.6212063802915, -46.6282150802915]"
30107,RUA CHICO MENDES,3073.0,OSASCO,"RUA CHICO MENDES, 3073, OSASCO","[-23.5098832302915, -46.7907931302915]"
30113,ALAMEDA SANTO AMARO,1000.0,SAO PAULO,"ALAMEDA SANTO AMARO, 1000, SAO PAULO","[-23.6618975802915, -46.7062042802915]"
30168,AVENIDA PROFESSOR FRANCISCO MORATO,0.0,SAO PAULO,"AVENIDA PROFESSOR FRANCISCO MORATO, 0, SAO PAULO","[-23.5920346802915, -46.7313499802915]"
30169,Avenida Presidente Castelo Branco,420.0,SAO PAULO,"Avenida Presidente Castelo Branco, 420, SAO PAULO","[-23.52707958029151, -46.60198508029149]"
30171,RUA COSTA BARROS,100.0,SAO PAULO,"RUA COSTA BARROS, 100, SAO PAULO","[-23.5989131802915, -46.5656732802915]"
30191,AVENIDA DO ESTADO,100.0,SAO PAULO,"AVENIDA DO ESTADO, 100, SAO PAULO","[-23.5231309802915, -46.6399750802915]"
30197,ESTRADA DE ITAPECERICA,100.0,SAO PAULO,"ESTRADA DE ITAPECERICA, 100, SAO PAULO","[-23.6439207802915, -46.7388384802915]"
30232,AVENIDA RAGUEB CHOHFI,1056.0,SAO PAULO,"AVENIDA RAGUEB CHOHFI, 1056, SAO PAULO","[-23.6045296802915, -46.47170828029149]"
30233,Avenida Marginal Tietê Central,100.0,SAO PAULO,"Avenida Marginal Tietê Central, 100, SAO PAULO","[-23.5227137802915, -46.6139964802915]"
