Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
421,AVENIDA GIOVANNI GRONCHI,3993.0,SAO PAULO,,,"AVENIDA GIOVANNI GRONCHI, 3993, SAO PAULO","[-23.6163395802915, -46.73255618029151]",3993,AVENIDA GIOVANNI GRONCHI,60884,60884AVENIDA GIOVANNI GRONCHI3993SAO PAULO
422,AVENIDA ARICANDUVA,10.0,SAO PAULO,,,"AVENIDA ARICANDUVA, 10, SAO PAULO","[-23.5993108802915, -46.4697313802915]",10,AVENIDA ARICANDUVA,60911,60911AVENIDA ARICANDUVA10SAO PAULO
423,ESTRADA CAUCAIA DO ALTO,100.0,COTIA,,,"ESTRADA CAUCAIA DO ALTO, 100, COTIA","[-23.6178612802915, -46.97348458029149]",100,ESTRADA CAUCAIA DO ALTO,60969,60969ESTRADA CAUCAIA DO ALTO100COTIA
424,AVENIDA PRESTES MAIA,0.0,SAO PAULO,,,"AVENIDA PRESTES MAIA, 0, SAO PAULO","[-23.53817058029151, -46.6352968802915]",nan,AVENIDA PRESTES MAIA,60997,60997AVENIDA PRESTES MAIAnanSAO PAULO
425,VIADUTO TERESA DELTA,10.0,SAO BERNARDO DO CAMPO,,,"VIADUTO TERESA DELTA, 10, SAO BERNARDO DO CAMPO","[-23.7068295802915, -46.5592920802915]",10,VIADUTO TERESA DELTA,61121,61121VIADUTO TERESA DELTA10SAO BERNARDO DO CAMPO
426,ACESSO PARA MARGINAL TIETE CENTRAL,17.0,SAO PAULO,,,"ACESSO PARA MARGINAL TIETE CENTRAL, 17, SAO PAULO","[-23.5295123802915, -46.5989732802915]",17,ACESSO PARA MARGINAL TIETE CENTRAL,61316,61316ACESSO PARA MARGINAL TIETE CENTRAL17SAO PAULO
427,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,800.0,SAO PAULO,,,"AVENIDA ENGENHEIRO EUSEBIO STEVAUX, 800, SAO PAULO","[-23.6706132302915, -46.70406893029149]",800,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,61411,61411AVENIDA ENGENHEIRO EUSEBIO STEVAUX800SAO PAULO
428,AVENIDA DO CURSINO,3600.0,SAO PAULO,,,"AVENIDA DO CURSINO, 3600, SAO PAULO","[-23.6341354802915, -46.61812718029149]",3600,AVENIDA DO CURSINO,61613,61613AVENIDA DO CURSINO3600SAO PAULO
429,AVENIDA CORONEL SEZEFREDO FAGUNDES,2699.0,SAO PAULO,,,"AVENIDA CORONEL SEZEFREDO FAGUNDES, 2699, SAO PAULO","[-23.4568197802915, -46.6039598802915]",2699,AVENIDA CORONEL SEZEFREDO FAGUNDES,61627,61627AVENIDA CORONEL SEZEFREDO FAGUNDES2699SAO PAULO
430,RUA MELO FREIRE,1.0,SAO PAULO,,,"RUA MELO FREIRE, 1, SAO PAULO","[-23.5431216802915, -46.5815397802915]",1,RUA MELO FREIRE,61666,61666RUA MELO FREIRE1SAO PAULO
431,AVENIDA DO IMPERADOR,4870.0,SAO PAULO,,,"AVENIDA DO IMPERADOR, 4870, SAO PAULO","[-23.5168776802915, -46.4586941802915]",4870,AVENIDA DO IMPERADOR,61851,61851AVENIDA DO IMPERADOR4870SAO PAULO
432,VIADUTO GUERINO SPITALETI,100.0,OSASCO,,,"VIADUTO GUERINO SPITALETI, 100, OSASCO","[-23.52853178029151, -46.7751925802915]",100,VIADUTO GUERINO SPITALETI,61889,61889VIADUTO GUERINO SPITALETI100OSASCO
433,AVENIDA QUEIROZ FILHO,100.0,SAO PAULO,,,"AVENIDA QUEIROZ FILHO, 100, SAO PAULO","[-23.5385986802915, -46.7219369802915]",100,AVENIDA QUEIROZ FILHO,61920,61920AVENIDA QUEIROZ FILHO100SAO PAULO
434,AVENIDA ANCHIETA,720.0,SAO PAULO,,,"AVENIDA ANCHIETA, 720, SAO PAULO","[-23.8506059802915, -46.1389959802915]",720,AVENIDA ANCHIETA,61943,61943AVENIDA ANCHIETA720SAO PAULO
435,RUA MELO FREIRE,4800.0,SAO PAULO,,,"RUA MELO FREIRE, 4800, SAO PAULO","[-23.5387228802915, -46.5607774802915]",4800,RUA MELO FREIRE,62036,62036RUA MELO FREIRE4800SAO PAULO
436,AVENIDA BRASIL,1456.0,SAO PAULO,,,"AVENIDA BRASIL, 1456, SAO PAULO","[-23.5708780802915, -46.6728183802915]",1456,AVENIDA BRASIL,62092,62092AVENIDA BRASIL1456SAO PAULO
437,AVENIDA YERVANT KISSAJIKIAN,1949.0,SAO PAULO,,,"AVENIDA YERVANT KISSAJIKIAN, 1949, SAO PAULO","[-23.67615798029151, -46.6629401802915]",1949,AVENIDA YERVANT KISSAJIKIAN,62326,62326AVENIDA YERVANT KISSAJIKIAN1949SAO PAULO
438,AVENIDA ROQUE PETRONI JUNIOR,1089.0,SAO PAULO,,,"AVENIDA ROQUE PETRONI JUNIOR, 1089, SAO PAULO","[-23.6275801802915, -46.68953718029151]",1089,AVENIDA ROQUE PETRONI JUNIOR,62331,62331AVENIDA ROQUE PETRONI JUNIOR1089SAO PAULO
439,AVENIDA PIRES DO RIO,4022.0,SAO PAULO,,,"AVENIDA PIRES DO RIO, 4022, SAO PAULO","[-23.5303251302915, -46.4524112302915]",4022,AVENIDA PIRES DO RIO,62345,62345AVENIDA PIRES DO RIO4022SAO PAULO
440,ACESSO AVENIDA PRESIDENTE TANCREDO NEVES,100.0,SAO PAULO,,,"ACESSO AVENIDA PRESIDENTE TANCREDO NEVES, 100, SAO PAULO","[-23.6071324302915, -46.6068056302915]",100,ACESSO AVENIDA PRESIDENTE TANCREDO NEVES,62400,62400ACESSO AVENIDA PRESIDENTE TANCREDO NEVES100SAO PAULO
441,AVENIDA WASHINGTON LUIS,2500.0,SAO PAULO,,,"AVENIDA WASHINGTON LUIS, 2500, SAO PAULO","[-23.6531584802915, -46.6839762802915]",2500,AVENIDA WASHINGTON LUIS,62411,62411AVENIDA WASHINGTON LUIS2500SAO PAULO
442,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,4950.0,SAO PAULO,,,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 4950, SAO PAULO","[-23.6690605802915, -46.6378902802915]",4950,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,62455,62455AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA4950SAO PAULO
443,AVENIDA WASHINGTON LUIS,6800.0,SAO PAULO,,,"AVENIDA WASHINGTON LUIS, 6800, SAO PAULO","[-23.6256239802915, -46.66245958029151]",6800,AVENIDA WASHINGTON LUIS,62512,62512AVENIDA WASHINGTON LUIS6800SAO PAULO
444,AVENIDA REBOUCAS,3025.0,SAO PAULO,,,"AVENIDA REBOUCAS, 3025, SAO PAULO","[-23.5714417802915, -46.68971948029149]",3025,AVENIDA REBOUCAS,62941,62941AVENIDA REBOUCAS3025SAO PAULO
445,AVENIDA JOSE PINHEIRO BORGES,10.0,SAO PAULO,,,"AVENIDA JOSE PINHEIRO BORGES, 10, SAO PAULO","[-23.5281067802915, -46.43331918029149]",10,AVENIDA JOSE PINHEIRO BORGES,62964,62964AVENIDA JOSE PINHEIRO BORGES10SAO PAULO
446,AVENIDA MARGINAL,100.0,CARAPICUIBA,,,"AVENIDA MARGINAL, 100, CARAPICUIBA","[-23.5235416802915, -46.8559523802915]",100,AVENIDA MARGINAL,63275,63275AVENIDA MARGINAL100CARAPICUIBA
447,AVENIDA CELSO DOS SANTOS,378.0,SAO PAULO,,,"AVENIDA CELSO DOS SANTOS, 378, SAO PAULO","[-23.6684625802915, -46.6711054802915]",378,AVENIDA CELSO DOS SANTOS,63407,63407AVENIDA CELSO DOS SANTOS378SAO PAULO
448,RUA VERGUEIRO,0.0,SAO PAULO,,,"RUA VERGUEIRO, 0, SAO PAULO","[-23.5724443802915, -46.64159628029149]",nan,RUA VERGUEIRO,63799,63799RUA VERGUEIROnanSAO PAULO
449,Rodovia Castelo Branco,0.0,BARUERI,,,"Rodovia Castelo Branco, 0, BARUERI","[-23.5108128802915, -46.8185928802915]",nan,PRESIDENTE CASTELLO BRANCO KM 25 3 LESTE,63877,63877PRESIDENTE CASTELLO BRANCO KM 25 3 LESTEnanBARUERI
450,AVENIDA VINTE E TRES DE MAIO,1.0,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]",1,AVENIDA VINTE E TRES DE MAIO,64046,64046AVENIDA VINTE E TRES DE MAIO1SAO PAULO
451,Rodovia Anhieta,0.0,SAO BERNARDO DO CAMPO,,,"Rodovia Anhieta, 0, SAO BERNARDO DO CAMPO","[-23.6897320802915, -46.56530228029151]",nan,SP 150,64392,64392SP 150nanSAO BERNARDO DO CAMPO
452,Rodovia Professor Alfredo Rolim de Moura,32.6,ARUJA,,,"Rodovia Professor Alfredo Rolim de Moura, 32.6, ARUJA","[-23.6119453, -46.1900242]",32.6,SP 088,64471,64471SP 08832.6ARUJA
453,AVENIDA JOAO VINTE E TRES,1130.0,SAO PAULO,,,"AVENIDA JOAO VINTE E TRES, 1130, SAO PAULO","[-23.57237243029151, -46.5319494302915]",1130,AVENIDA JOAO VINTE E TRES,64476,64476AVENIDA JOAO VINTE E TRES1130SAO PAULO
454,RUA EMILIA MARENGO,1330.0,SAO PAULO,,,"RUA EMILIA MARENGO, 1330, SAO PAULO","[-23.55736288029151, -46.55635238029149]",1330,RUA EMILIA MARENGO,64579,64579RUA EMILIA MARENGO1330SAO PAULO
455,ACESSO DOUTOR EDUARDO COTCHING,2492.0,SAO PAULO,,,"ACESSO DOUTOR EDUARDO COTCHING, 2492, SAO PAULO","[-23.5706681802915, -46.5418943802915]",2492,ACESSO DOUTOR EDUARDO COTCHING,64630,64630ACESSO DOUTOR EDUARDO COTCHING2492SAO PAULO
456,PRESIDENTE DUTRA,0.0,GUARULHOS,,,"PRESIDENTE DUTRA, 0, GUARULHOS","[-23.4401198, -46.4491338]",nan,PRESIDENTE DUTRA,64826,64826PRESIDENTE DUTRAnanGUARULHOS
457,ACESSO AVENIDA JACUPESSEGO,100.0,SAO PAULO,,,"ACESSO AVENIDA JACUPESSEGO, 100, SAO PAULO","[-23.5507665802915, -46.48816378029149]",100,ACESSO AVENIDA JACUPESSEGO,64850,64850ACESSO AVENIDA JACUPESSEGO100SAO PAULO
458,PONTE JAGUARE,100.0,SAO PAULO,,,"PONTE JAGUARE, 100, SAO PAULO","[-23.5588922802915, -46.74665033029149]",100,PONTE JAGUARE,64855,64855PONTE JAGUARE100SAO PAULO
459,AVENIDA PADRE VICENTE MELILO,100.0,OSASCO,,,"AVENIDA PADRE VICENTE MELILO, 100, OSASCO","[-23.5498921802915, -46.7765686802915]",100,AVENIDA PADRE VICENTE MELILO,65152,65152AVENIDA PADRE VICENTE MELILO100OSASCO
460,AVENIDA SALIM FARAH MALUF,100.0,SAO PAULO,,,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]",100,AVENIDA SALIM FARAH MALUF,65168,65168AVENIDA SALIM FARAH MALUF100SAO PAULO
461,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,5925.0,SAO PAULO,,,"AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS, 5925, SAO PAULO","[-23.77346548029151, -46.7012688802915]",5925,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,65171,65171AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS5925SAO PAULO
462,VIADUTO POMPEIA,10.0,SAO PAULO,,,"VIADUTO POMPEIA, 10, SAO PAULO","[-23.5217525802915, -46.6804485802915]",10,VIADUTO POMPEIA,65412,65412VIADUTO POMPEIA10SAO PAULO
463,AVENIDA DO ESTADO,5303.0,SAO PAULO,,,"AVENIDA DO ESTADO, 5303, SAO PAULO","[-23.5584151802915, -46.6198213802915]",5303,AVENIDA DO ESTADO,65421,65421AVENIDA DO ESTADO5303SAO PAULO
464,AVENIDA DO ESTADO,5405.0,SAO PAULO,,,"AVENIDA DO ESTADO, 5405, SAO PAULO","[-23.5588407802915, -46.6189676802915]",5405,AVENIDA DO ESTADO,65514,65514AVENIDA DO ESTADO5405SAO PAULO
465,AVENIDA DONA BELMIRA MARIN,2400.0,SAO PAULO,,,"AVENIDA DONA BELMIRA MARIN, 2400, SAO PAULO","[-23.7516401802915, -46.6894205802915]",2400,AVENIDA DONA BELMIRA MARIN,65553,65553AVENIDA DONA BELMIRA MARIN2400SAO PAULO
466,AVENIDA MORUMBI,5062.0,SAO PAULO,,,"AVENIDA MORUMBI, 5062, SAO PAULO","[-23.6101356802915, -46.7143833802915]",5062,AVENIDA MORUMBI,65648,65648AVENIDA MORUMBI5062SAO PAULO
467,VIADUTO DOS TRABALHADORES,1000.0,BARUERI,,,"VIADUTO DOS TRABALHADORES, 1000, BARUERI","[-23.5133341802915, -46.87235258029149]",1000,VIADUTO DOS TRABALHADORES,65876,65876VIADUTO DOS TRABALHADORES1000BARUERI
468,AVENIDA VITOR CIVITA,1200.0,OSASCO,,,"AVENIDA VITOR CIVITA, 1200, OSASCO","[-23.58584938029151, -46.8081688802915]",1200,AVENIDA VITOR CIVITA,66041,66041AVENIDA VITOR CIVITA1200OSASCO
469,AVENIDA JOAO PAULO I,1203.0,EMBU DAS ARTES,,,"AVENIDA JOAO PAULO I, 1203, EMBU DAS ARTES","[-23.6376275802915, -46.8238259802915]",1203,AVENIDA JOAO PAULO I,66500,66500AVENIDA JOAO PAULO I1203EMBU DAS ARTES
470,ESTRADA DO M'BOI MIRIM,8700.0,SAO PAULO,,,"ESTRADA DO M'BOI MIRIM, 8700, SAO PAULO","[-23.7194319802915, -46.7858205802915]",8700,ESTRADA DO M'BOI MIRIM,66521,66521ESTRADA DO M'BOI MIRIM8700SAO PAULO
471,RUA VEREADOR EMILIO MENEGHINI,100.0,SAO PAULO,,,"RUA VEREADOR EMILIO MENEGHINI, 100, SAO PAULO","[-23.5691395802915, -46.5182233302915]",100,RUA VEREADOR EMILIO MENEGHINI,66666,66666RUA VEREADOR EMILIO MENEGHINI100SAO PAULO
472,AVENIDA SAO PAULO,1588.0,EMBU DAS ARTES,,,"AVENIDA SAO PAULO, 1588, EMBU DAS ARTES","[-23.6477333, -46.85536073029149]",1588,AVENIDA SAO PAULO,66906,66906AVENIDA SAO PAULO1588EMBU DAS ARTES
473,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5466.0,SANTO ANDRE,,,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 5466, SANTO ANDRE","[-23.7017355802915, -46.5069428802915]",5466,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,67184,67184AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO5466SANTO ANDRE
474,AVENIDA DOUTOR EDUARDO COTCHING,10.0,SAO PAULO,,,"AVENIDA DOUTOR EDUARDO COTCHING, 10, SAO PAULO","[-23.5689986802915, -46.5431284802915]",10,AVENIDA DOUTOR EDUARDO COTCHING,67512,67512AVENIDA DOUTOR EDUARDO COTCHING10SAO PAULO
475,AVENIDA VINTE E TRES DE MAIO,3.0,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 3, SAO PAULO","[-23.5516311802915, -46.6392445802915]",3,AVENIDA VINTE E TRES DE MAIO,67635,67635AVENIDA VINTE E TRES DE MAIO3SAO PAULO
476,PRACA JACOMO ZANELA,187.0,SAO PAULO,,,"PRACA JACOMO ZANELA, 187, SAO PAULO","[-23.51705808029151, -46.7004905802915]",187,PRACA JACOMO ZANELA,67653,67653PRACA JACOMO ZANELA187SAO PAULO
477,RUA FRANCISCO MARENGO,2000.0,SAO PAULO,,,"RUA FRANCISCO MARENGO, 2000, SAO PAULO","[-23.5562898802915, -46.5577215802915]",2000,RUA FRANCISCO MARENGO,67687,67687RUA FRANCISCO MARENGO2000SAO PAULO
478,AVENIDA SHOZO SAKAI,1647.0,MOGI DAS CRUZES,,,"AVENIDA SHOZO SAKAI, 1647, MOGI DAS CRUZES","[-23.5539188302915, -46.2249743802915]",1647,AVENIDA SHOZO SAKAI,67697,67697AVENIDA SHOZO SAKAI1647MOGI DAS CRUZES
479,AVENIDA SAO MIGUEL,5891.0,SAO PAULO,,,"AVENIDA SAO MIGUEL, 5891, SAO PAULO","[-23.5074414802915, -46.4781685802915]",5891,AVENIDA SAO MIGUEL,68023,68023AVENIDA SAO MIGUEL5891SAO PAULO
480,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5855.0,SANTO ANDRE,,,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 5855, SANTO ANDRE","[-23.7052783302915, -46.5055715302915]",5855,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,68113,68113AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO5855SANTO ANDRE
481,RUA MAJOR LUCIO DIAS RAMOS,51.0,SAO PAULO,,,"RUA MAJOR LUCIO DIAS RAMOS, 51, SAO PAULO","[-23.7669267802915, -46.6931963802915]",51,RUA MAJOR LUCIO DIAS RAMOS,68346,68346RUA MAJOR LUCIO DIAS RAMOS51SAO PAULO
482,ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL,1.0,SAO PAULO,,,"ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL, 1, SAO PAULO","[-23.7089534, -46.5105031]",1,ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL,68417,68417ACESSO AVENIDA JACU PESSEGO  MAUA  RODOANEL1SAO PAULO
483,RUA BELA VISTA DO PARAISO,1024.0,GUARULHOS,,,"RUA BELA VISTA DO PARAISO, 1024, GUARULHOS","[-23.4231489802915, -46.44241418029149]",1024,RUA BELA VISTA DO PARAISO,68426,68426RUA BELA VISTA DO PARAISO1024GUARULHOS
484,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,10.0,DIADEMA,,,"ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL, 10, DIADEMA","[-23.6869722802915, -46.62720108029149]",10,ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,68428,68428ACESSO AVENIDA FABIO EDUARDO RAMOS ESQUIVEL10DIADEMA
485,ESTRADA GUAVIRUTUBA,821.0,SAO PAULO,,,"ESTRADA GUAVIRUTUBA, 821, SAO PAULO","[-23.6851247802915, -46.7621725802915]",821,ESTRADA GUAVIRUTUBA,68471,68471ESTRADA GUAVIRUTUBA821SAO PAULO
486,RUA CARLOS GOMES,1001.0,SAO PAULO,,,"RUA CARLOS GOMES, 1001, SAO PAULO","[-23.6585070802915, -46.70233988029151]",1001,RUA CARLOS GOMES,68549,68549RUA CARLOS GOMES1001SAO PAULO
487,AVENIDA FRANCISCO RODRIGUES FILHO,100.0,MOGI DAS CRUZES,,,"AVENIDA FRANCISCO RODRIGUES FILHO, 100, MOGI DAS CRUZES","[-23.5204119802915, -46.19571018029149]",100,AVENIDA FRANCISCO RODRIGUES FILHO,68774,68774AVENIDA FRANCISCO RODRIGUES FILHO100MOGI DAS CRUZES
488,AVENIDA CRISANTEMO,500.0,OSASCO,,,"AVENIDA CRISANTEMO, 500, OSASCO","[-23.5376283802915, -46.7949817302915]",500,AVENIDA CRISANTEMO,68826,68826AVENIDA CRISANTEMO500OSASCO
489,Rodovia Professor Simão Faiguenboim,555.0,SAO PAULO,,,"Rodovia Professor Simão Faiguenboim, 555, SAO PAULO","[-23.6510790802915, -46.7283152802915]",555,SP 015,68837,68837SP 015555SAO PAULO
490,RUA DOZE DE JUNHO,126.0,GUARULHOS,,,"RUA DOZE DE JUNHO, 126, GUARULHOS","[-23.4139967802915, -46.40555768029149]",126,RUA DOZE DE JUNHO,68845,68845RUA DOZE DE JUNHO126GUARULHOS
491,AVENIDA SAO PAULO,1800.0,EMBU DAS ARTES,,,"AVENIDA SAO PAULO, 1800, EMBU DAS ARTES","[-23.6477333, -46.85536073029149]",1800,AVENIDA SAO PAULO,68871,68871AVENIDA SAO PAULO1800EMBU DAS ARTES
492,AVENIDA MARGINAL,100.0,CARAPICUIBA,,,"AVENIDA MARGINAL, 100, CARAPICUIBA","[-23.5235416802915, -46.8559523802915]",100,AVENIDA MARGINAL,68881,68881AVENIDA MARGINAL100CARAPICUIBA
493,AVENIDA VINTE E TRES DE MAIO,25.0,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 25, SAO PAULO","[-23.5850472802915, -46.65530598029149]",25,AVENIDA VINTE E TRES DE MAIO,68934,68934AVENIDA VINTE E TRES DE MAIO25SAO PAULO
494,ACESSO DOUTOR ASSIS RIBEIRO,4160.0,SAO PAULO,,,"ACESSO DOUTOR ASSIS RIBEIRO, 4160, SAO PAULO","[-23.4981211802915, -46.5160108802915]",4160,ACESSO DOUTOR ASSIS RIBEIRO,68945,68945ACESSO DOUTOR ASSIS RIBEIRO4160SAO PAULO
495,Rodovia Régis Bittencourt,283.0,EMBU DAS ARTES,,,"Rodovia Régis Bittencourt, 283, EMBU DAS ARTES","[-23.6766981802915, -46.8577050802915]",283,SP 230,69154,69154SP 230283EMBU DAS ARTES
496,AVENIDA MARIA SERVIDEI DEMARCHE,100.0,SAO BERNARDO DO CAMPO,,,"AVENIDA MARIA SERVIDEI DEMARCHE, 100, SAO BERNARDO DO CAMPO","[-23.7269727302915, -46.55450003029149]",100,AVENIDA MARIA SERVIDEI DEMARCHE,69322,69322AVENIDA MARIA SERVIDEI DEMARCHE100SAO BERNARDO DO CAMPO
497,AVENIDA SALIM FARAH MALUF,100.0,SAO PAULO,,,"AVENIDA SALIM FARAH MALUF, 100, SAO PAULO","[-23.5770964802915, -46.57279708029149]",100,AVENIDA SALIM FARAH MALUF,69441,69441AVENIDA SALIM FARAH MALUF100SAO PAULO
498,AVENIDA MARCO ANTONIO CALEGARI,1.0,BARUERI,,,"AVENIDA MARCO ANTONIO CALEGARI, 1, BARUERI","[-23.5274237, -46.8640458]",1,AVENIDA MARCO ANTONIO CALEGARI,69746,69746AVENIDA MARCO ANTONIO CALEGARI1BARUERI
499,RUA BENJAMIN RODRIGUES,125.0,SANTA ISABEL,,,"RUA BENJAMIN RODRIGUES, 125, SANTA ISABEL","[-23.3092944802915, -46.22235338029149]",125,RUA BENJAMIN RODRIGUES,69849,69849RUA BENJAMIN RODRIGUES125SANTA ISABEL
500,AVENIDA MORUMBI,3768.0,SAO PAULO,,,"AVENIDA MORUMBI, 3768, SAO PAULO","[-23.59962568029151, -46.7099815802915]",3768,AVENIDA MORUMBI,69870,69870AVENIDA MORUMBI3768SAO PAULO
501,AVENIDA HONORIO ALVARES PENTEADO,90.0,SANTANA DE PARNAIBA,,,"AVENIDA HONORIO ALVARES PENTEADO, 90, SANTANA DE PARNAIBA","[-23.4447580802915, -46.8330898802915]",90,AVENIDA HONORIO ALVARES PENTEADO,69937,69937AVENIDA HONORIO ALVARES PENTEADO90SANTANA DE PARNAIBA
502,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53.0,SAO PAULO,,,"AVENIDA DOUTOR GUILHERME DUMONT VILLARES, 53, SAO PAULO","[-23.6057357802915, -46.7483232802915]",53,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,70040,70040AVENIDA DOUTOR GUILHERME DUMONT VILLARES53SAO PAULO
503,RUA SALVADOR DALI,31.0,SAO PAULO,,,"RUA SALVADOR DALI, 31, SAO PAULO","[-23.71034138029151, -46.65632688029149]",31,RUA SALVADOR DALI,70256,70256RUA SALVADOR DALI31SAO PAULO
504,RUA JURUBATUBA,122.0,SAO BERNARDO DO CAMPO,,,"RUA JURUBATUBA, 122, SAO BERNARDO DO CAMPO","[-23.6996340802915, -46.5551485802915]",122,RUA JURUBATUBA,70849,70849RUA JURUBATUBA122SAO BERNARDO DO CAMPO
505,AVENIDA MARGINAL DO RIBEIRAO,1000.0,CARAPICUIBA,,,"AVENIDA MARGINAL DO RIBEIRAO, 1000, CARAPICUIBA","[-23.5544839802915, -46.8226399802915]",1000,AVENIDA MARGINAL DO RIBEIRAO,70865,70865AVENIDA MARGINAL DO RIBEIRAO1000CARAPICUIBA
506,Rodovia Armando Salles,6300.0,SAO PAULO,,,"Rodovia Armando Salles, 6300, SAO PAULO","[-23.6870463802915, -46.80246208029149]",6300,SP 228,70987,70987SP 2286300SAO PAULO
507,Avenida Marginal Direita do Tietê,514.0,SAO PAULO,,,"Avenida Marginal Direita do Tietê, 514, SAO PAULO","[-23.5170783802915, -46.73264578029149]",514,SP 015,71054,71054SP 015514SAO PAULO
508,AVENIDA DOM PEDRO II,411.0,SANTO ANDRE,,,"AVENIDA DOM PEDRO II, 411, SANTO ANDRE","[-23.6533059802915, -46.5356922802915]",411,AVENIDA DOM PEDRO II,71106,71106AVENIDA DOM PEDRO II411SANTO ANDRE
509,PARQUE RAPOSO TAVARES,13.0,SAO PAULO,,,"PARQUE RAPOSO TAVARES, 13, SAO PAULO","[-23.5897537802915, -46.75754758029149]",13,PARQUE RAPOSO TAVARES,71564,71564PARQUE RAPOSO TAVARES13SAO PAULO
510,AVENIDA JORNALISTA ROBERTO MARINHO,699.0,SAO PAULO,,,"AVENIDA JORNALISTA ROBERTO MARINHO, 699, SAO PAULO","[-23.6152761802915, -46.6948848802915]",699,AVENIDA JORNALISTA ROBERTO MARINHO,71584,71584AVENIDA JORNALISTA ROBERTO MARINHO699SAO PAULO
511,Rodovia Professor Alfredo Rolim de Moura,32.6,ARUJA,,,"Rodovia Professor Alfredo Rolim de Moura, 32.6, ARUJA","[-23.6119453, -46.1900242]",32.6,SP 088,71598,71598SP 08832.6ARUJA
512,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,100.0,SAO BERNARDO DO CAMPO,,,"AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 100, SAO BERNARDO DO CAMPO","[-23.6958294802915, -46.58590498029151]",100,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,71606,71606AVENIDA HUMBERTO ALENCAR CASTELO BRANCO100SAO BERNARDO DO CAMPO
513,VIADUTO DO GLICERIO,100.0,SAO PAULO,,,"VIADUTO DO GLICERIO, 100, SAO PAULO","[-23.5574862802915, -46.6303012802915]",100,VIADUTO DO GLICERIO,71630,71630VIADUTO DO GLICERIO100SAO PAULO
514,AVENIDA CHICA LUISA,2355.0,SAO PAULO,,,"AVENIDA CHICA LUISA, 2355, SAO PAULO","[-23.4500091802915, -46.7569175802915]",2355,AVENIDA CHICA LUISA,71640,71640AVENIDA CHICA LUISA2355SAO PAULO
515,AVENIDA PROFESSOR FRANCISCO MORATO,10.0,SAO PAULO,,,"AVENIDA PROFESSOR FRANCISCO MORATO, 10, SAO PAULO","[-23.5739438802915, -46.7063940802915]",10,AVENIDA PROFESSOR FRANCISCO MORATO,71650,71650AVENIDA PROFESSOR FRANCISCO MORATO10SAO PAULO
516,ACESSO AVENIDA DO ESTADO,1255.0,SAO CAETANO DO SUL,,,"ACESSO AVENIDA DO ESTADO, 1255, SAO CAETANO DO SUL","[-23.61284048029151, -46.5593346802915]",1255,ACESSO AVENIDA DO ESTADO,71747,71747ACESSO AVENIDA DO ESTADO1255SAO CAETANO DO SUL
517,ALAMEDA AFONSO SCHMIDT,745.0,SAO PAULO,,,"ALAMEDA AFONSO SCHMIDT, 745, SAO PAULO","[-23.4960575802915, -46.63633838029151]",745,ALAMEDA AFONSO SCHMIDT,71942,71942ALAMEDA AFONSO SCHMIDT745SAO PAULO
518,AVENIDA JOAO PAULO PRIMEIRO,1711.0,SAO PAULO,,,"AVENIDA JOAO PAULO PRIMEIRO, 1711, SAO PAULO","[-23.4793328802915, -46.6867793802915]",1711,AVENIDA JOAO PAULO PRIMEIRO,71943,71943AVENIDA JOAO PAULO PRIMEIRO1711SAO PAULO
