Unnamed: 0,Logradouro,Numero/KM,Município,Longitude,Latitude,Endereço,Location,Numero_ori,Logradouro_ori,index1,Index_Bala
2628,VIADUTO MINISTRO ALIOMAR BALEEIRO,100.0,SAO PAULO,,,"VIADUTO MINISTRO ALIOMAR BALEEIRO, 100, SAO PAULO","[-23.6306304802915, -46.6324127802915]",100,VIADUTO MINISTRO ALIOMAR BALEEIRO,347264,347264VIADUTO MINISTRO ALIOMAR BALEEIRO100SAO PAULO
2629,ESTRADA DE ITAPECERICA,23480.0,SAO PAULO,,,"ESTRADA DE ITAPECERICA, 23480, SAO PAULO","[-23.6714815802915, -46.78794088029149]",23480,ESTRADA DE ITAPECERICA,347304,347304ESTRADA DE ITAPECERICA23480SAO PAULO
2630,ACESSO DOUTOR EDUARDO COTCHING,1637.0,SAO PAULO,,,"ACESSO DOUTOR EDUARDO COTCHING, 1637, SAO PAULO","[-23.5659565802915, -46.5474899802915]",1637,ACESSO DOUTOR EDUARDO COTCHING,347392,347392ACESSO DOUTOR EDUARDO COTCHING1637SAO PAULO
2631,AVENIDA GUARAPIRANGA,100.0,SAO PAULO,,,"AVENIDA GUARAPIRANGA, 100, SAO PAULO","[-23.6707923802915, -46.73545898029151]",100,AVENIDA GUARAPIRANGA,347506,347506AVENIDA GUARAPIRANGA100SAO PAULO
2632,AVENIDA NATALIA ZARIF,100.0,GUARULHOS,,,"AVENIDA NATALIA ZARIF, 100, GUARULHOS","[-23.4376525802915, -46.4971180802915]",100,AVENIDA NATALIA ZARIF,348064,348064AVENIDA NATALIA ZARIF100GUARULHOS
2633,AVENIDA MARGINAL DO RIBEIRAO,2650.0,CARAPICUIBA,,,"AVENIDA MARGINAL DO RIBEIRAO, 2650, CARAPICUIBA","[-23.5648757802915, -46.8290350802915]",2650,AVENIDA MARGINAL DO RIBEIRAO,348245,348245AVENIDA MARGINAL DO RIBEIRAO2650CARAPICUIBA
2634,RUA CAIO GRACCO,0.0,SAO PAULO,,,"RUA CAIO GRACCO, 0, SAO PAULO","[-23.5278001802915, -46.6955755802915]",nan,RUA CAIO GRACCO,348646,348646RUA CAIO GRACCOnanSAO PAULO
2635,AVENIDA CRUZEIRO DO SUL,1677.0,OSASCO,,,"AVENIDA CRUZEIRO DO SUL, 1677, OSASCO","[-23.5074528802915, -46.77865698029151]",1677,AVENIDA CRUZEIRO DO SUL,348786,348786AVENIDA CRUZEIRO DO SUL1677OSASCO
2636,AVENIDA ELISEU DE ALMEIDA,0.0,SAO PAULO,,,"AVENIDA ELISEU DE ALMEIDA, 0, SAO PAULO","[-23.5933149802915, -46.7395037802915]",nan,AVENIDA ELISEU DE ALMEIDA,349256,349256AVENIDA ELISEU DE ALMEIDAnanSAO PAULO
2637,RUA FRANCISCO RABELO,977.0,SAO PAULO,,,"RUA FRANCISCO RABELO, 977, SAO PAULO","[-23.60770608029151, -46.5663781802915]",977,RUA FRANCISCO RABELO,349562,349562RUA FRANCISCO RABELO977SAO PAULO
2638,AVENIDA ISALTINO VICTOR DE MORAES,100.0,EMBU DAS ARTES,,,"AVENIDA ISALTINO VICTOR DE MORAES, 100, EMBU DAS ARTES","[-23.6416696802915, -46.8403575802915]",100,AVENIDA ISALTINO VICTOR DE MORAES,349735,349735AVENIDA ISALTINO VICTOR DE MORAES100EMBU DAS ARTES
2639,TERMINAL URBANO PIMENTAS  ESTR JUSCELINO KUBTISC,10.0,GUARULHOS,,,"TERMINAL URBANO PIMENTAS  ESTR JUSCELINO KUBTISC, 10, GUARULHOS","[-23.4407761802915, -46.4081631802915]",10,TERMINAL URBANO PIMENTAS  ESTR JUSCELINO KUBTISC,349870,349870TERMINAL URBANO PIMENTAS  ESTR JUSCELINO KUBTISC10GUARULHOS
2640,CENTRAL PLAZA SHOPPING  AVENIDA DR FRANCISCO MESQUIT,10.0,SAO PAULO,,,"CENTRAL PLAZA SHOPPING  AVENIDA DR FRANCISCO MESQUIT, 10, SAO PAULO","[-23.59505608029151, -46.5865038802915]",10,CENTRAL PLAZA SHOPPING  AVENIDA DR FRANCISCO MESQUIT,349940,349940CENTRAL PLAZA SHOPPING  AVENIDA DR FRANCISCO MESQUIT10SAO PAULO
2641,AVENIDA PROFESSOR FRANCISCO MORATO,3228.0,SAO PAULO,,,"AVENIDA PROFESSOR FRANCISCO MORATO, 3228, SAO PAULO","[-23.5902027802915, -46.7299440802915]",3228,AVENIDA PROFESSOR FRANCISCO MORATO,350490,350490AVENIDA PROFESSOR FRANCISCO MORATO3228SAO PAULO
2642,AVENIDA ELISEU DE ALMEIDA,1.0,SAO PAULO,,,"AVENIDA ELISEU DE ALMEIDA, 1, SAO PAULO","[-23.5824407802915, -46.7234383802915]",1,AVENIDA ELISEU DE ALMEIDA,350639,350639AVENIDA ELISEU DE ALMEIDA1SAO PAULO
2643,AVENIDA VINTE E TRES DE MAIO,1.0,SAO PAULO,,,"AVENIDA VINTE E TRES DE MAIO, 1, SAO PAULO","[-23.5506059802915, -46.63983598029149]",1,AVENIDA VINTE E TRES DE MAIO,351090,351090AVENIDA VINTE E TRES DE MAIO1SAO PAULO
2644,RUA GEOVANE DA CONEGLIANO,305.0,SAO PAULO,,,"RUA GEOVANE DA CONEGLIANO, 305, SAO PAULO","[-23.6529217802915, -46.6000111802915]",305,RUA GEOVANE DA CONEGLIANO,351106,351106RUA GEOVANE DA CONEGLIANO305SAO PAULO
2645,ACESSO AVENIDA NOSSA SENHORA DO SABARA,250.0,SAO PAULO,,,"ACESSO AVENIDA NOSSA SENHORA DO SABARA, 250, SAO PAULO","[-23.6614471802915, -46.6983869802915]",250,ACESSO AVENIDA NOSSA SENHORA DO SABARA,351117,351117ACESSO AVENIDA NOSSA SENHORA DO SABARA250SAO PAULO
2646,Rodovia Régis Bittencourt,1.0,EMBU DAS ARTES,,,"Rodovia Régis Bittencourt, 1, EMBU DAS ARTES","[-23.6571631802915, -46.85145008029149]",1,SP 230,351229,351229SP 2301EMBU DAS ARTES
2647,AVENIDA PORTUGAL,300.0,SAO PAULO,,,"AVENIDA PORTUGAL, 300, SAO PAULO","[-23.6133287802915, -46.6804939302915]",300,AVENIDA PORTUGAL,351253,351253AVENIDA PORTUGAL300SAO PAULO
2648,ESTRADA ITAPECERICA A CAMPO LIMPO,2421.0,EMBU DAS ARTES,,,"ESTRADA ITAPECERICA A CAMPO LIMPO, 2421, EMBU DAS ARTES","[-23.6700586302915, -46.8036096802915]",2421,ESTRADA ITAPECERICA A CAMPO LIMPO,351318,351318ESTRADA ITAPECERICA A CAMPO LIMPO2421EMBU DAS ARTES
2649,AVENIDA PROFESSOR VICENTE RAO,100.0,SAO PAULO,,,"AVENIDA PROFESSOR VICENTE RAO, 100, SAO PAULO","[-23.6288373802915, -46.68732258029149]",100,AVENIDA PROFESSOR VICENTE RAO,351643,351643AVENIDA PROFESSOR VICENTE RAO100SAO PAULO
2650,AVENIDA ORDEM E PROGRESSO,798.0,SAO PAULO,,,"AVENIDA ORDEM E PROGRESSO, 798, SAO PAULO","[-23.5156175802915, -46.6680302802915]",798,AVENIDA ORDEM E PROGRESSO,351686,351686AVENIDA ORDEM E PROGRESSO798SAO PAULO
2651,ACESSO  MARIO COVAS,93.0,SAO PAULO,,,"ACESSO  MARIO COVAS, 93, SAO PAULO","[-23.5631487802915, -46.67606628029149]",93,ACESSO  MARIO COVAS,351718,351718ACESSO  MARIO COVAS93SAO PAULO
