,Logradouro,Numero/KM,Município,Longitude,Latitude
99802,AVENIDA DOUTOR GUILHERME DUMONT VILLARES,53,SAO PAULO,,
100096,AVENIDA ARICANDUVA,10300,SAO PAULO,,
100102,AVENIDA ALCANTARA MACHADO,,SAO PAULO,,
100127,AVENIDA QUEIROZ FILHO,968,SAO PAULO,,
100139,AVENIDA INOCENCIO SERAFICO,342,CARAPICUIBA,,
100261,RUA JOAQUINA DE JESUS,488,GUARULHOS,,
100679,RUA NOVA BRASILIA,100,SAO PAULO,,
100768,ESTRADA DOS ALVARENGAS,998,SAO BERNARDO DO CAMPO,,
100942,ACESSO ACESSO A   BANDEIRANTES,1000,SAO PAULO,,
100997,AVENIDA PIRES DO RIO,2140,SAO PAULO,,
101035,AVENIDA VEREADOR JOAO DE LUCA,302,SAO PAULO,,
101183,RUA AZEVEDO SOARES,973,SAO PAULO,,
101211,AVENIDA LAURO GOMES,100,SANTO ANDRE,,
101262,ESTRADA DOM JOAO NERY,3862,SAO PAULO,,
101281,RUA DA CONSOLACAO,100,SAO PAULO,,
101410,RUA SIMAO CAETANO NUNES,9,SAO PAULO,,
101418,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2039,SAO PAULO,,
101840,VELHA GUARULHOSSAO MIGUEL,,GUARULHOS,,
101859,RUA DOUTOR AMILTON PRADO,843,FRANCO DA ROCHA,,
101956,AVENIDA ITAMARATI,1070,SANTO ANDRE,,
101993,AVENIDA PRESIDENTE TANCREDO NEVES,2800,SAO PAULO,,
102072,RUA DA GAVEA,1381,SAO PAULO,,
102083,RUA BENEDITO VALADARES RIBEIRO,1992,GUARULHOS,,
102293,RUA MARTINS FONTES,,SAO PAULO,,
102356,AVENIDA JOAO PAULO PRIMEIRO,1712,SAO PAULO,,
102408,AVENIDA MARECHAL TITO,8254,SAO PAULO,,
102488,RUA BELA VISTA DO PARAISO,44,GUARULHOS,,
102622,ACESSO AVENIDA INAJAR DE SOUZA,1418,SAO PAULO,,
103083,AVENIDA BRASIL,10,SAO PAULO,,
103136,ESTRADA SANTA INES,2,MAIRIPORA,,
103199,RUA CANA VERDE,,GUARULHOS,,
103320,AVENIDA CHICA LUISA,1800,SAO PAULO,,
103393,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,6607,DIADEMA,,
103534,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO,,
103562,AVENIDA MARGINAL DO RIO PINHEIROS,15,SAO PAULO,,
103770,AVENIDA INAJAR DE SOUZA,4067,SAO PAULO,,
103806,AVENIDA JOSE ESTIMA FILHO,2125,SAO PAULO,,
104087,AVENIDA PEDRO ALVARES CABRAL,1001,SAO PAULO,,
104102,AVENIDA SALIM FARAH MALUF,4288,SAO PAULO,,
104173,ESTRADA GUARULHOSNAZARE,842,GUARULHOS,,
104180,RUA VEREADOR JOAO BATISTA FITIPALDI,500,SUZANO,,
104248,AVENIDA DOS BANDEIRANTES,4563,SAO PAULO,,
104456,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4281,SAO BERNARDO DO CAMPO,,
104694,VIADUTO ANTONIO ADIBE CHAMAS,1,SANTO ANDRE,,
104805,AVENIDA MORUMBI,8502,SAO PAULO,,
105074,AVENIDA CONCEICAO,100,DIADEMA,,
105085,AVENIDA ENGENHEIRO CAETANO ALVARES,,SAO PAULO,,
105186,AVENIDA MARGINAL,1455,CARAPICUIBA,,
105188,PRESIDENTE DUTRA BR 116,10,GUARULHOS,,
105204,AVENIDA CONDE DE FRONTIN,1569,SAO PAULO,,
105368,VIADUTO JULIO MESQUITA FILHO,111,SAO PAULO,,
105382,ACESSO DOUTOR EDUARDO COTCHING,804,SAO PAULO,,
105388,VIADUTO JULIO MESQUITA FILHO,10,SAO PAULO,,
105611,AVENIDA ARRAIAS DO ARAGUAIA,100,SAO PAULO,,
105620,AVENIDA DOS ESTADOS,4555,SANTO ANDRE,,
105724,AVENIDA IBIRAMA,517,TABOAO DA SERRA,,
105994,ESTRADA DA BARONESA,991,SAO PAULO,,
106086,RUA MONSENHOR ANDRADE,,SAO PAULO,,
106092,AVENIDA MORUMBI,100,SAO PAULO,,
106121,RUA PAULO DO VALE,213,EMBU DAS ARTES,,
106204,AVENIDA NOVA ARCADIA,1200,SAO PAULO,,
106232,AVENIDA SAO JOAO,1050,SAO PAULO,,
106276,AVENIDA ANTONIO SILVIO CUNHA BUENO,1693,DIADEMA,,
106427,ACESSO MAUA,10,MAUA,,
106568,AVENIDA INTERLAGOS,6330,SAO PAULO,,
106654,AVENIDA ELISEU DE ALMEIDA,,SAO PAULO,,
106684,AVENIDA MARGINAL CSU,1000,CARAPICUIBA,,
106840,AVENIDA PARADA PINTO,2446,SAO PAULO,,
106889,AVENIDA DOS ESTADOS,5989,SANTO ANDRE,,
106928,AVENIDA ALCANTARA MACHADO,,SAO PAULO,,
107039,ESTRADA DA ROSEIRA,10048,MAIRIPORA,,
107174,AVENIDA SAPOPEMBA,30000,SAO PAULO,,
107336,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
107501,RUA SCHWARTZMANN,,MOGI DAS CRUZES,,
107502,ESTRADA DOS ALVARENGAS,3141,SAO BERNARDO DO CAMPO,,
107521,AVENIDA DOS BANDEIRANTES,1440,SAO PAULO,,
107845,AVENIDA DOUTOR HUGO BEOLCHI,10,SAO PAULO,,
107983,RUA TOMAS RIBEIRO COLACO,623,SAO PAULO,,
107992,RUA DO PLANALTO,476,SUZANO,,
108002,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4169,SAO BERNARDO DO CAMPO,,
108016,AVENIDA GETULIO VARGAS,893,SAO BERNARDO DO CAMPO,,
108021,AVENIDA DOUTOR SYLVIO DE CAMPOS,100,SAO PAULO,,
108066,SP 015,635,SAO PAULO,,
108299,RUA SAO CAETANO,213,EMBU DAS ARTES,,
108316,AVENIDA DIOGENES RIBEIRO DE LIMA,2991,SAO PAULO,,
108333,AVENIDA DOS BANDEIRANTES,100,SAO PAULO,,
108454,AVENIDA PACAEMBU,1553,SAO PAULO,,
108533,LARGO CONSELHEIRO MOREIRA DE BARROS,2390,SAO PAULO,,
108559,RUA BEIJAFLOR,938,COTIA,,
108958,ESTRADA DE SANTA INES,10,CAIEIRAS,,
108974,RUA CONDE MOREIRA LIMA,446,SAO PAULO,,
108984,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,
109015,ACESSO AVENIDA DOUTOR GUILHERME DUMONT VILLARES,1930,SAO PAULO,,
109182,SP 015,514,SAO PAULO,,
109200,AVENIDA JACU PESSEGO,1400,SAO PAULO,,
109210,RUA CERRO CORA,586,SAO PAULO,,
109251,AVENIDA CONCEICAO,1253,SAO PAULO,,
109298,RUA ARTUR FERREIRA DE ABREU,100,SAO PAULO,,
109410,AVENIDA MARECHAL TITO,2614,SAO PAULO,,
109556,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO,,
109562,ESTRADA DE ITAPECERICA,1000,EMBU DAS ARTES,,
109590,AVENIDA JORNALISTA PAULO ZINGG,301,SAO PAULO,,
109599,RUA JOAO PAULO,1575,SAO PAULO,,
109655,RUA JAMIL JOAO ZARIFE,1381,GUARULHOS,,
109706,RUA SALVADOR RIPOLI,2615,RIBEIRAO PIRES,,
109719,VIADUTO DO GLICERIO,10,SAO PAULO,,
109728,AVENIDA SEBASTIAO DAVINO DOS REIS,999,BARUERI,,
109768,ESTRADA DA BARONESA,1,SAO PAULO,,
110009,AVENIDA NOVE DE JULHO,900,ITAPECERICA DA SERRA,,
110120,RUA BUTIA,415,SAO PAULO,,
110157,AVENIDA JOAO PAULO PRIMEIRO,100,SAO PAULO,,
110214,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO,,
110695,RUA MANOEL FERREIRA PIRES,169,SAO PAULO,,
110944,IMIGRANTES,100,SAO PAULO,,
111059,AVENIDA IBIRAMA,100,TABOAO DA SERRA,,
111084,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5068,SANTO ANDRE,,
111135,ESTRADA DO MONTANHAO,4000,SAO BERNARDO DO CAMPO,,
111247,AVENIDA YERVANT KISSAJIKIAN,1405,SAO PAULO,,
111332,RUA PILAR DO SUL,100,CARAPICUIBA,,
111363,ESTRADA DE SAO BENTO,2470,ITAQUAQUECETUBA,,
111595,RUA RIACHAO JACUIPE,214,GUARULHOS,,
111723,AVENIDA ORLANDA BERGAMO,1032,GUARULHOS,,
111727,RUA CANTAGALO,,SAO PAULO,,
111882,AVENIDA PRESIDENTE JOAO GOULART,100,SAO PAULO,,
112093,SP 088,,MOGI DAS CRUZES,,
112179,AVENIDA BENEDITA FRANCO DA VEIGA,269,MAUA,,
112421,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
112572,AVENIDA PROFESSOR FRANCISCO MORATO,3757,SAO PAULO,,
112600,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,10,OSASCO,,
112611,AVENIDA CONDE DE FRONTIN,,SAO PAULO,,
112652,AVENIDA ESCOLA POLITECNICA,,SAO PAULO,,
112653,AVENIDA IBIRAMA,100,TABOAO DA SERRA,,
112680,ESTRADA DO PEDROSO,100,SANTO ANDRE,,
112853,AVENIDA INAJAR DE SOUZA,,SAO PAULO,,
112898,RUA FLORIDA,1254,SAO PAULO,,
112924,AVENIDA DOS BANDEIRANTES,5790,SAO PAULO,,
112990,AVENIDA GOVERNADOR CARVALHO PINTO,10,SAO PAULO,,
113001,SP 150,,SAO BERNARDO DO CAMPO,,
113238,ESTRADA DE ITAPECERICA,2405,SAO PAULO,,
113274,AVENIDA SAO GUALTER,286,SAO PAULO,,
113276,RUA DOUTOR ABELARDO VERGUEIRO CESAR,1680,SAO PAULO,,
113365,AVENIDA DOUTOR LAURO PARENTE,1337,SAO PAULO,,
113368,AVENIDA DO ORATORIO,4392,SAO PAULO,,
113595,SP 031,2500,RIBEIRAO PIRES,,
113748,RUA JOAO AMOS COMENIUS,1015,SAO PAULO,,
113800,SP 031,,RIBEIRAO PIRES,,
113806,RUA CORONEL SILVA CASTRO,184,SAO PAULO,,
113812,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE,,
114143,AVENIDA ALDA,5550,DIADEMA,,
114272,AVENIDA DOM PEDRO II,365,SANTO ANDRE,,
114325,AVENIDA DO CURSINO,900,SAO PAULO,,
114377,PARQUE DOM PEDRO II,3350,SAO PAULO,,
114494,RUA PEDRO DE TOLEDO,,SAO PAULO,,
114715,AVENIDA ELISEU DE ALMEIDA,100,SAO PAULO,,
114716,RUA MAJOR LUCIO DIAS RAMOS,381,SAO PAULO,,
114781,ESTRADA DO M'BOI MIRIM,8702,SAO PAULO,,
114877,RUA JURUBATUBA,122,SAO BERNARDO DO CAMPO,,
114925,RUA FUNCHAL,500,SAO PAULO,,
115016,RUA ANTONIO DE BARROS,1155,SAO PAULO,,
115160,PRESIDENTE DUTRA BR 116,221,GUARULHOS,,
115183,SP 228,1,ITAPECERICA DA SERRA,,
115187,SP 070,14.8,SAO PAULO,,
115244,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO,,
115249,AVENIDA GUIDO ALIBERTI,25,SAO CAETANO DO SUL,,
115252,AVENIDA TIRADENTES,108,SAO PAULO,,
115274,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
115356,AVENIDA MARCOS PAULO GONCALVES,1315,GUARULHOS,,
115756,RUA PEDRO VICENTE,,SAO PAULO,,
115846,RUA LEONILDA,496,SANTO ANDRE,,
116122,AVENIDA WASHINGTON LUIS,7041,SAO PAULO,,
116286,AVENIDA DOS BANDEIRANTES,5201,SAO PAULO,,
116440,AVENIDA MARGINAL,101,CARAPICUIBA,,
116718,RUA RIACHAO JACUIPE,692,GUARULHOS,,
117158,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
117291,SP 031,100,RIBEIRAO PIRES,,
117321,ACESSO  M BOI MIRIM,9760,SAO PAULO,,
117345,AVENIDA ESCOLA POLITECNICA,,SAO PAULO,,
117458,PRACA DOUTOR JOAO MENDES,100,SAO PAULO,,
117483,AVENIDA WASHINGTON LUIS,,SAO PAULO,,
117804,AVENIDA MARGINAL DO RIO PINHEIROS,10,SAO PAULO,,
117989,AVENIDA MARGINAL DIREITA,56,BARUERI,,
118097,RUA SALVADOR DALI,2000,SAO PAULO,,
118391,RUA DAS PALMEIRAS,230,SAO PAULO,,
118519,AVENIDA DOS OURIVES,100,SAO PAULO,,
118718,SP 070,11,SAO PAULO,,
118767,AVENIDA YOJIRO TAKAOKA,10,SANTANA DE PARNAIBA,,
118786,SP 015,226,SAO PAULO,,
118874,AVENIDA JOAO VENTURA DOS SANTOS,2674,OSASCO,,
118882,SP 015,279,SAO PAULO,,
118927,AVENIDA CIDADE JUDAIDET MARJAYOUN,2000,SAO PAULO,,
119117,RUA ALEXANIA,,GUARULHOS,,
119134,ESTRADA DO SURU,5123,SANTANA DE PARNAIBA,,
119230,AVENIDA ARICANDUVA,100,SAO PAULO,,
119846,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO,,
119855,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO,,
120000,AVENIDA SENADOR TEOTONIO VILELA,8400,SAO PAULO,,
120964,AVENIDA ELISEU DE ALMEIDA,1575,SAO PAULO,,
121115,VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO,,
121184,RUA NARUMI NAKAIAMA,902,EMBU DAS ARTES,,
121211,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
121331,AVENIDA PRESIDENTE TANCREDO NEVES,100,VARGEM GRANDE PAULISTA,,
121338,RUA VALDOMIRO CAVAZANI,597,OSASCO,,
121526,AVENIDA DEPUTADO EMILIO CARLOS,740,SAO PAULO,,
121530,ESTRADA DOS ALVARENGAS,53249,SAO BERNARDO DO CAMPO,,
121563,RUA NEPAL,800,SANTO ANDRE,,
121612,AVENIDA MARGINAL DO RIO BAQUIRIVU,1000,GUARULHOS,,
121620,SP 088,32.6,ARUJA,,
121761,AVENIDA INCONFIDENCIA MINEIRA,1737,SAO PAULO,,
121849,ESTRADA DE ITAPECERICA,1983,EMBU DAS ARTES,,
121948,AVENIDA DONA BELMIRA MARIN,4215,SAO PAULO,,
122398,AVENIDA DOS BANDEIRANTES,5692,SAO PAULO,,
122454,AVENIDA ELISEU DE ALMEIDA,100,SAO PAULO,,
122616,AVENIDA DOS BANDEIRANTES,5837,SAO PAULO,,
122636,ESTRADA DO MONTANHAO,6401,SAO BERNARDO DO CAMPO,,
123088,SP 031,2340,RIBEIRAO PIRES,,
123353,SP 354,38,FRANCO DA ROCHA,,
123716,PRACA DA BANDEIRA,215,SAO PAULO,,
123795,RUA RIO BRANCO,586,MAUA,,
124193,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,,
124198,ALAMEDA JAU,256,SAO PAULO,,
124319,AVENIDA BRIGADEIRO FARIA LIMA,2421,SAO BERNARDO DO CAMPO,,
124638,AVENIDA BRIGADEIRO FARIA LIMA,124,GUARULHOS,,
125004,SP 015,120,SAO PAULO,,
125033,RUA DOUTOR LUIZ MIGLIANO,181,SAO PAULO,,
125092,RUA DOUTOR MOISES KAHAN,460,SAO PAULO,,
125124,IMIGRANTES,,SAO PAULO,,
125367,AVENIDA ARICANDUVA,12000,SAO PAULO,,
125396,AVENIDA BRAZ LEME,998,SAO PAULO,,
125463,AVENIDA DOS AUTONOMISTAS,4001,OSASCO,,
125726,ALAMEDA ARAGUAIA,2799,BARUERI,,
125727,AVENIDA RIBEIRAO ITAQUERA,2790,SAO PAULO,,
125819,AVENIDA MARCELINO BRECIANI,350,CAIEIRAS,,
125887,ACESSO AVENIDA PRESIDENTE MEDICE,2793,OSASCO,,
126223,SP 031,99,RIBEIRAO PIRES,,
126245,RUA INOCENCIO SERAFICO,4655,SAO PAULO,,
126364,RUA ALTINOPOLIS,,SAO PAULO,,
126729,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,1484,GUARULHOS,,
126787,AVENIDA SAPOPEMBA,6543,SAO PAULO,,
126806,ESTRADA MUNICIPAL,1733,SANTANA DE PARNAIBA,,
126847,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,16741,SAO PAULO,,
126870,ESTRADA GOVERNADOR MARIO COVAS JUNIOR,100,ITAQUAQUECETUBA,,
127541,AVENIDA GUAPIRA,100,SAO PAULO,,
127705,LARGO UBIRAJARA,,SAO PAULO,,
127893,AVENIDA CARLOS LACERDA,10,SAO PAULO,,
127927,AVENIDA ALDA,1878,DIADEMA,,
127936,AVENIDA DOUTOR EDUARDO COTCHING,1290,SAO PAULO,,
127984,ALAMEDA SANTO AMARO,113,SAO PAULO,,
127996,VIADUTO DO GLICERIO,1,SAO PAULO,,
128101,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,,
128367,AVENIDA SANTOS DUMONT,,SAO PAULO,,
128409,VIADUTO MIGUEL MOFARREJ,1,SAO PAULO,,
128478,RUA PINDORAMA,527,SANTO ANDRE,,
129104,RUA LUIS GOIS,10,SAO PAULO,,
129199,AVENIDA ANTONIO SILVIO CUNHA BUENO,1692,DIADEMA,,
129299,ESTACAO METRO PATRIARCA,1,SAO PAULO,,
129637,ACESSO DOUTOR EDUARDO COTCHING,1578,SAO PAULO,,
129655,AVENIDA ESCOLA POLITECNICA,,SAO PAULO,,
129714,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,,
130024,RUA VINTE E DOIS DE AGOSTO,265,SAO PAULO,,
130040,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
130074,RUA JOSE BENICIO DOS SANTOS,51,CARAPICUIBA,,
130078,ESTRADA DO CAMPO LIMPO,4577,SAO PAULO,,
130105,AVENIDA MARGINAL DO RIBEIRAO,4833,CARAPICUIBA,,
130282,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
130397,RUA EDUARDO CHAVES,200,SANTO ANDRE,,
130421,RUA CONDE MOREIRA LIMA,936,SAO PAULO,,
130613,SP 015,661,SAO PAULO,,
130618,AVENIDA MORUMBI,8471,SAO PAULO,,
130807,RUA JORGE MIRANDA,1,SAO PAULO,,
130873,RUA ANTONIO BEZERRA,386,SAO PAULO,,
130888,AVENIDA CORONEL SEZEFREDO FAGUNDES,7000,SAO PAULO,,
130953,ESTACAO METRO BELEM,10,SAO PAULO,,
131105,RUA JOSE FELIX,189,SAO PAULO,,
131212,AVENIDA PEDRO MACHADO,1,MOGI DAS CRUZES,,
131512,AVENIDA INOCENCIO SERAFICO,9575,CARAPICUIBA,,
131619,AVENIDA PEREIRA BARRETO,1501,SANTO ANDRE,,
132149,ACESSO AVENIDA JOSE PINHEIRO BORGES,60,SAO PAULO,,
132242,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO,,
132291,RUA DAS TRES MARIAS,213,ITAPECERICA DA SERRA,,
132752,AVENIDA PROFESSOR FRANCISCO MORATO,4131,SAO PAULO,,
132961,AVENIDA INTERCONTINENTAL,1208,SAO PAULO,,
132983,RUA ANGELO DEL DEBRIO,1705,FRANCO DA ROCHA,,
133156,RUA VOLUNTARIOS DA PATRIA,3812,SAO PAULO,,
133295,ESTACAO METRO BELEM,10,SAO PAULO,,
133311,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
133389,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,,
133474,ESTRADA DO M'BOI MIRIM,6982,SAO PAULO,,
133653,ESTRADA DAS PITAS,1770,ITAPEVI,,
133787,AVENIDA BRIGADEIRO FARIA LIMA,,SAO BERNARDO DO CAMPO,,
134033,ACESSO AVENIDA PADRE ANCHIETA,13,SAO BERNARDO DO CAMPO,,
134134,ESTRADA DO M'BOI MIRIM,7000,SAO PAULO,,
134446,ALAMEDA DOM PEDRO DE ALCANTARA,1432,SAO BERNARDO DO CAMPO,,
134698,RUA VOLUNTARIOS DA PATRIA,100,SAO PAULO,,
134723,AVENIDA PRESIDENTE TANCREDO NEVES,1000,VARGEM GRANDE PAULISTA,,
135101,AVENIDA BRASIL,10,SAO PAULO,,
135265,AVENIDA PADRE VICENTE MELILO,100,OSASCO,,
135477,ACESSO RUA GEOVANE BATISTA PIRELI,2000,SANTO ANDRE,,
135509,AVENIDA DOUTOR EDUARDO COTCHING,678,SAO PAULO,,
135535,AVENIDA SANTA CATARINA,1,BARUERI,,
135650,RUA SERRA DA QUEIMADA,800,SAO PAULO,,
135710,AVENIDA DOUTOR FRANCISCO RANIERI,911,SAO PAULO,,
135732,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,1000,SAO PAULO,,
136626,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,,SAO PAULO,,
136670,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,,
137033,AVENIDA CORONEL SEZEFREDO FAGUNDES,19000,SAO PAULO,,
137060,AVENIDA ALBERTO SOARES SAMPAIO,100,MAUA,,
137072,AVENIDA GAGO COUTINHO,100,SANTO ANDRE,,
137088,AVENIDA IMIRIM,1854,SAO PAULO,,
137254,AVENIDA ARICANDUVA,,SAO PAULO,,
137411,AVENIDA IMPERADOR,3183,SAO PAULO,,
137459,ACESSO BR 116,,GUARULHOS,,
137581,SP 280,10,SAO PAULO,,
137780,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO,,
138234,AVENIDA SAPOPEMBA,2504,SAO PAULO,,
138236,VIADUTO ANTARTICA,100,SAO PAULO,,
138293,AVENIDA SAPOPEMBA,1002,SAO PAULO,,
138309,RUA CORNELIO DE ARZAO,1511,SAO PAULO,,
138619,ESTRADA PROFESSOR LAUDELINO ALVES FERREIRA,1278,FRANCO DA ROCHA,,
138658,ESTRADA DE ITAPECERICA,3023,SAO PAULO,,
138999,AVENIDA JOSE MARIA WHITAKER,1365,SAO PAULO,,
139009,AVENIDA MORUMBI,6839,SAO PAULO,,
139206,SP 015,661,SAO PAULO,,
139230,AVENIDA MUTINGA,364,SAO PAULO,,
139233,ESTRADA DE MOGI DAS CRUZES,1300,SAO PAULO,,
139684,ALAMEDA AMERICA,100,SANTANA DE PARNAIBA,,
139692,ACESSO SAO MIGUEL,4662,SAO PAULO,,
139754,AVENIDA SILVESTRE PIRES DE FREITAS,100,GUARULHOS,,
140060,ESTRADA DA LAGOA,2577,VARGEM GRANDE PAULISTA,,
140223,SP 015,608,SAO PAULO,,
140477,AVENIDA ARICANDUVA,11200,SAO PAULO,,
140891,AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO,,
141246,AVENIDA CONDE DE FRONTIN,10,SAO PAULO,,
141363,ESTRADA DA BARONESA,1012,SAO PAULO,,
141588,SP 088,,MOGI DAS CRUZES,,
141611,AVENIDA BRIGADEIRO LUIS ANTONIO,3250,SAO PAULO,,
141809,RUA GOMES DE CARVALHO,491,SAO PAULO,,
141826,AVENIDA MARECHAL TITO,2614,SAO PAULO,,
142204,ESTRADA ENGENHEIRO MARCILAC,14487,SAO PAULO,,
142221,PRESIDENTE PRESIDENTE CASTELLO BRANCO,,BARUERI,,
142229,AVENIDA DOUTOR EDUARDO COTCHING,410,SAO PAULO,,
142648,ESTRADA DE ITAPECERICA,10000,SAO PAULO,,
142886,TERMINAL PARELHEIROS,100,SAO PAULO,,
143178,SP 015,300,SAO PAULO,,
143192,AVENIDA QUEIROS DOS SANTOS,1,SANTO ANDRE,,
143400,RUA SERGIO SHIGERU HARADA,1556,CAJAMAR,,
143417,ACESSO AVENIDA PAES DE BARROS,10,SAO PAULO,,
143458,RUA KUMAKI AOKI,363,SAO PAULO,,
143793,ESTRADA DA BARONESA,639,SAO PAULO,,
143813,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,100,SAO BERNARDO DO CAMPO,,
143817,AVENIDA PRESTES MAIA,100,SAO PAULO,,
143972,VIADUTO FREDERICO EDUARDO MAYR,100,SAO PAULO,,
143980,SP 019,2,GUARULHOS,,
144017,RUA MALMEQUERDOCAMPO,1610,SAO PAULO,,
144086,RUA PIRAPORINHA,1112,SAO PAULO,,
144167,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO,,
144206,ESTRADA CAUCAIA DO ALTO,3350,COTIA,,
144301,RUA BERNARDO DADDI,,SAO PAULO,,
144386,AVENIDA RENOVA DOS SANTOS,100,ARUJA,,
144682,RUA MARIA BATISTA,241,SAO PAULO,,
144714,RUA CAFE FILHO,340,SAO BERNARDO DO CAMPO,,
144734,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
144747,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO,,
145120,RUA SAO CAETANO,939,EMBU DAS ARTES,,
145498,AVENIDA FRANCISCO RODRIGUES FILHO,100,MOGI DAS CRUZES,,
145521,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO,,
145554,ACESSO AVENIDA PERI RONCHETTI,635,SAO PAULO,,
145739,AVENIDA JACU PESSEGO,3788,SAO PAULO,,
145846,AVENIDA RUI BARBOSA,2337,CARAPICUIBA,,
146422,AVENIDA JEAN LIEUTAUD,100,RIO GRANDE DA SERRA,,
146424,ESTRADA DA CAMA PATENTE,2400,SAO BERNARDO DO CAMPO,,
146446,AVENIDA DONA BELMIRA MARIN,1036,SAO PAULO,,
146602,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO,,
146760,RUA EDSON,100,SAO PAULO,,
146777,RUA EDMUNDO CARVALHO,129,SAO PAULO,,
147103,VIADUTO DO GLICERIO,100,SAO PAULO,,
147174,RUA DOS APIARIS,431,SAO PAULO,,
147379,ESTRADA DO M'BOI MIRIM,1100,SAO PAULO,,
147380,AVENIDA GENERAL ASDRUBAL DA CUNHA,785,SAO PAULO,,
147506,AVENIDA ODAIR PACHECO PEDROSO,1000,EMBU DAS ARTES,,
147583,AVENIDA EMILIO RIBAS,100,GUARULHOS,,
147805,IMIGRANTES,10,SAO PAULO,,
147931,RUA JOAQUIM MOREIRA,648,GUARULHOS,,
148307,AVENIDA ARICANDUVA,12050,SAO PAULO,,
148332,AVENIDA PEDROSO DE MORAIS,777,SAO PAULO,,
148365,AVENIDA ROTARY,2335,EMBU DAS ARTES,,
148394,VIADUTO DO GLICERIO,1,SAO PAULO,,
148512,AVENIDA ARICANDUVA,12050,SAO PAULO,,
149017,AVENIDA ELISIO TEIXEIRA LEITE,4184,SAO PAULO,,
149133,ESTRADA PEDREIRA ALVARENGA,2568,DIADEMA,,
149221,AVENIDA CARLOS CALDEIRA FILHO,13500,SAO PAULO,,
149236,AVENIDA MENDES DA ROCHA,529,SAO PAULO,,
149825,AVENIDA TRINTA E UM DE MARCO,2421,SAO BERNARDO DO CAMPO,,
149929,AVENIDA DOUTOR TIMOTEO PENTEADO,3607,GUARULHOS,,
150210,SP 031,,SUZANO,,
150481,ALAMEDA JAUAPERI,,SAO PAULO,,
150544,RUA GARCIA DE ORTA,953,SAO PAULO,,
150563,AVENIDA NOSSA SENHORA DO O,177,SAO PAULO,,
150609,ESTRADA DE SANTA ISABEL,11,ARUJA,,
150861,PRACA EMBAIXADOR CIRO DE FREITAS VALLE,10,SAO PAULO,,
151071,RUA PAULO DO VALE,100,EMBU DAS ARTES,,
151142,PRESIDENTE PRESIDENTE CASTELLO BRANCO   KM 27 9 OESTE,,BARUERI,,
151150,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA,,
151232,ACESSO AVENIDA RAGUEB CHOHFI,3797,SAO PAULO,,
151288,PONTE PRESIDENTE DUTRA,222,SAO PAULO,,
151436,AVENIDA ARICANDUVA,5650,SAO PAULO,,
151734,RUA DO MANIFESTO,3032,SAO PAULO,,
