,Logradouro,Numero/KM,Município,Longitude,Latitude
23909,PRESID TANCREDO DE ALMEIDA NEVES,39,CAIEIRAS,,
24001,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
24045,RUA MIRANDINHA,930,SAO PAULO,,
24576,AVENIDA ARICANDUVA,100,SAO PAULO,,
24771,ACESSO AVENIDA PAPA JOAO XXIII,100,MAUA,,
24809,AVENIDA CANGAIBA,2214,SAO PAULO,,
24829,PONTE ORESTES QUERCIA,1,SAO PAULO,,
24839,AVENIDA LUIZ GUSHIKEN,126,SAO PAULO,,
25054,AVENIDA DOUTOR ARNALDO,2194,SAO PAULO,,
25205,ESTRADA GUARULHOSNAZARE,2224,GUARULHOS,,
25316,RUA MARECHAL DEODORO,2134,SAO BERNARDO DO CAMPO,,
25415,RUA CATIGUA,100,SAO PAULO,,
25739,ACESSO AVENIDA DO ESTADO,1517,SAO CAETANO DO SUL,,
26144,RUA PAULO DO VALE,213,EMBU DAS ARTES,,
26163,RUA PAULO DO VALE,100,EMBU DAS ARTES,,
26171,RUA ACASSIO ANTONIO BATISTA,1650,GUARULHOS,,
27083,BR 381,100,SAO PAULO,,
27229,SP 230,100,TABOAO DA SERRA,,
27313,IMIGRANTES,160,DIADEMA,,
27328,ESTRADA DO PEDROSO,1120,SANTO ANDRE,,
27526,AVENIDA ATLANTICA,1620,SAO PAULO,,
27528,RUA RIO ACIMA,5910,SAO BERNARDO DO CAMPO,,
28105,ACESSO ALBERTO BYINGTON,1136,SAO PAULO,,
28170,SP 015,385,SAO PAULO,,
28186,ESTRADA DO PONEI CLUB,53104,SAO BERNARDO DO CAMPO,,
28245,ACESSO AVENIDA PROFESSOR FRANCISCO MORATO,5171,SAO PAULO,,
28548,AVENIDA EDE,57,SAO PAULO,,
28552,AVENIDA SAO LUIS,100,SAO PAULO,,
29029,RUA TALES DOS SANTOS FREIRE,434,SAO BERNARDO DO CAMPO,,
29491,AVENIDA OTAVIO BRAGA DE MESQUITA,1819,GUARULHOS,,
29503,RUA ZEZE MACEDO,660,SAO PAULO,,
29742,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1611,SAO PAULO,,
29753,AVENIDA FRANCISCO MARENGO,2174,SUZANO,,
29817,ESTRADA SANTA ISABEL,3440,ITAQUAQUECETUBA,,
30144,AVENIDA MARGINAL CSU,100,CARAPICUIBA,,
30167,AVENIDA ERNESTO SOUZA CRUZ,807,SAO PAULO,,
30662,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,3670,DIADEMA,,
30863,ESTRADA DE ITAPECERICA,3023,SAO PAULO,,
30876,AVENIDA ANTONIO BARBOSA DA SILVA SANDOVAL,461,SAO PAULO,,
30879,AVENIDA PARADA PINTO,1869,SAO PAULO,,
31101,RUA GUILHERME CARIJO,1500,SUZANO,,
31211,AVENIDA ATLANTICA,3685,SAO PAULO,,
31419,AVENIDA JOAO VINTE E TRES,418,SAO PAULO,,
31658,AVENIDA REBOUCAS,10,SAO PAULO,,
31719,AVENIDA GUARAPIRANGA,4135,SAO PAULO,,
31821,AVENIDA SPORT CLUB CORINTIANS PAULISTA,1708,OSASCO,,
31853,RUA PIRATININGA,800,SAO CAETANO DO SUL,,
31885,ESTRADA DA BARONESA,893,SAO PAULO,,
31954,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO,,
32159,AVENIDA DONA BELMIRA MARIN,48,SAO PAULO,,
32247,AVENIDA SARGENTO GERALDO SANTANA,1628,SAO PAULO,,
32264,RUA ORATORIO,3774,SANTO ANDRE,,
32341,AVENIDA PARADA PINTO,2035,SAO PAULO,,
32395,ESTRADA DO M'BOI MIRIM,8659,SAO PAULO,,
32472,RUA PEDRO ESCOBAR,614,SAO PAULO,,
32872,AVENIDA JOAO PAULO PRIMEIRO,1702,SAO PAULO,,
32890,ACESSO RUA DOUTOR LUIS AIRES,2199,SAO PAULO,,
33001,PROF ALFREDO ROLIM DE MOURA   KM 78,,BIRITIBA MIRIM,,
33317,PONTE ENGENHEIRO ARY TORRES,100,SAO PAULO,,
33612,VIADUTO DONA IGNES COLINO,10,OSASCO,,
33632,AVENIDA GUARAPIRANGA,2679,SAO PAULO,,
33642,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO,,
33765,RUA NOVA DO TUPAROQUERA,185,SAO PAULO,,
34041,AVENIDA PIRES DO RIO,2616,SAO PAULO,,
34139,RUA MARECHAL DEODORO,1226,SAO BERNARDO DO CAMPO,,
34195,RUA ORATORIO,2447,SANTO ANDRE,,
34404,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1539,SAO PAULO,,
34406,AVENIDA DIREITOS HUMANOS,1192,SAO PAULO,,
34664,SP 230,10,EMBU DAS ARTES,,
34688,RUA INACIO MONTEIRO,6014,SAO PAULO,,
35243,AVENIDA ARICANDUVA,10,SAO PAULO,,
35516,AVENIDA JACU PESSEGO,8210,SAO PAULO,,
35692,RUA PILAR DO SUL,249,CARAPICUIBA,,
35743,AVENIDA BRIGADEIRO LUIS ANTONIO,3249,SAO PAULO,,
35806,AVENIDA MARECHAL CASTELO BRANCO,525,TABOAO DA SERRA,,
35857,ESTRADA DO MONTE NEGRO,2100,SANTA ISABEL,,
35876,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,100,SAO PAULO,,
35919,TUNEL FERNANDOVIEIRA DE MELLO,100,SAO PAULO,,
35952,AVENIDA ELISEU DE ALMEIDA,3309,SAO PAULO,,
36201,AVENIDA VITAL BRASIL,1350,SAO PAULO,,
36226,ANCHIETA QUILOMETRO 15 MARGINAL SUL,15,SAO BERNARDO DO CAMPO,,"-46,5766558774235"
36336,AVENIDA NORDESTINA,977,SAO PAULO,,
36438,RUA SAO BENTO,673,OSASCO,,
36999,AVENIDA GUILHERME,323,SAO PAULO,,
37204,AVENIDA MARECHAL TITO,6403,SAO PAULO,,
37217,AVENIDA DO ORATORIO,2022,SAO PAULO,,
37242,RUA JOSE MANOEL DE ALMEIDA,10,VARGEM GRANDE PAULISTA,,
37350,RUA AFONSINA,,SAO BERNARDO DO CAMPO,,
37527,VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO,100,SAO PAULO,,
37804,AVENIDA CORONEL SEZEFREDO FAGUNDES,20980,SAO PAULO,,
37853,AVENIDA IPIRANGA,,SAO PAULO,,
37870,AVENIDA DO ORATORIO,2636,SAO PAULO,,
37899,AVENIDA RIO DAS PEDRAS,219,SAO PAULO,,
37971,AVENIDA DOM PEDRO II,2990,SANTO ANDRE,,
38044,VIADUTO VINTE E CINCO DE MARCO,1,SAO PAULO,,
38052,AVENIDA ADELIA CHOHFI,9800,SAO PAULO,,
38056,AVENIDA SALIM FARAH MALUF,100,SAO PAULO,,
38099,RUA ITAPECERICA DA SERRA,8000,SAO PAULO,,
38154,RUA STELA MARIS,172,GUARULHOS,,
38164,RUA MIRANDINHA,737,SAO PAULO,,
38184,AVENIDA LUIZ GUSHIKEN,100,SAO PAULO,,
38346,RUA MIGUEL YUNES,1,SAO PAULO,,
38374,RUA VOLUNTARIOS DA PATRIA,3813,SAO PAULO,,
38389,AVENIDA CAMINHO DO MAR,2455,SAO BERNARDO DO CAMPO,,
38465,ESTRADA CANAL DE COCAIA,4700,SAO PAULO,,
38625,RUA VEREADOR JORGE DE SOUZA,2680,EMBU DAS ARTES,,
38950,ESTACAO METRO BELEM,100,SAO PAULO,,
39019,ALAMEDA DOM PEDRO DE ALCANTARA,1462,SAO BERNARDO DO CAMPO,,
39020,ESTRADA DOS ALVARENGAS,495,SAO BERNARDO DO CAMPO,,
39096,AVENIDA SAO JOSE,826,OSASCO,,
39477,AVENIDA VEREADOR JOAO DE LUCA,100,SAO PAULO,,
39491,RUA ORATORIO,1587,SANTO ANDRE,,
40594,RUA RUI BARBOSA,226,SAO PAULO,,
40636,AVENIDA ISRAEL,,FRANCO DA ROCHA,,
40827,ESTRADA ITAQUERA GUAIANAZES,2421,SAO PAULO,,
41003,RUA MONTEIRO LOBATO,2,ITAPECERICA DA SERRA,,
41261,AVENIDA CORONEL BERTOLDO,100,SANTA ISABEL,,
41299,RUA LEON,3624,SAO BERNARDO DO CAMPO,,
41304,AVENIDA DOS ESTADOS,1341,SANTO ANDRE,,
41612,AVENIDA PIRAPORINHA,100,SAO BERNARDO DO CAMPO,,
41626,RUA AMARAL GURGEL,499,SAO PAULO,,
41680,VIELA URGA,144,GUARULHOS,,
41711,RUA MARECHAL LEITAO DE CARVALHO,483,SAO PAULO,,
41725,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,90,SAO PAULO,,
41821,AVENIDA LIONS,1,SAO BERNARDO DO CAMPO,,
41894,RUA ENGENHEIRO VITOR FREIRE,100,SAO PAULO,,
42066,AVENIDA INCONFIDENCIA MINEIRA,1576,SAO PAULO,,
42074,AVENIDA FRANCISCO RODRIGUES FILHO,7170,MOGI DAS CRUZES,,
42217,AVENIDA WASHINGTON LUIS,6995,SAO PAULO,,
42297,AVENIDA ITAQUERA,5056,SAO PAULO,,
42357,SP 070,10,GUARULHOS,,
42406,RUA ATLANTICA,3453,SAO PAULO,,
42639,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO,,
42738,AVENIDA SANTA CATARINA,2525,SAO PAULO,,
42739,AVENIDA PRESIDENTE DOUTOR TANCREDO DE ALMEIDA NEVE,150,OSASCO,,
42759,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,7000,DIADEMA,,
42770,VIADUTO TERESA DELTA,100,SAO BERNARDO DO CAMPO,,
42866,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO,,
42925,SP 230,1000,TABOAO DA SERRA,,
43185,RUA JOSE ZAPPI,1092,SAO PAULO,,
43223,RUA AIRES MONTEIRO,162,ARUJA,,
43230,VIADUTO ANTONIO ADIBE CHAMAS,100,SANTO ANDRE,,
43234,RUA PILAR DO SUL,248,CARAPICUIBA,,
43419,PONTE DOS REMEDIOS,1274,SAO PAULO,,
43528,SP 230,10,ITAPECERICA DA SERRA,,
43654,ESTRADA KIZAEMON TAKEUTI,3261,TABOAO DA SERRA,,
43666,RUA CORONEL SEABRA,,SANTO ANDRE,,
43708,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO,,
44061,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL,,
44134,ACESSO AVENIDA ANTONIO ESTEVAO DE CARVALHO,100,SAO PAULO,,
44169,AVENIDA PIRES DO RIO,3122,SAO PAULO,,
44187,AVENIDA DO CURSINO,3023,SAO PAULO,,
44221,SP 280,,SANTANA DE PARNAIBA,,
