,Logradouro,Numero/KM,Município
3339,ACESSO AVENIDA DOM PEDRO DE ALCANTARA,377,SAO BERNARDO DO CAMPO
3342,AVENIDA DOS BANDEIRANTES,781,SAO PAULO
3343,AVENIDA TIRADENTES,100,SAO PAULO
3464,AVENIDA PREFEITO HIRANT SANAZAR,461,OSASCO
3493,PRACA CAMPO DE BAGATELLE,300,SAO PAULO
3496,PRESID TANCREDO DE ALMEIDA NEVES,39,CAIEIRAS
3507,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
3513,RUA MIRANDINHA,930,SAO PAULO
3588,AVENIDA ARICANDUVA,100,SAO PAULO
3628,ACESSO AVENIDA PAPA JOAO XXIII,100,MAUA
3630,AVENIDA CANGAIBA,2214,SAO PAULO
3633,PONTE ORESTES QUERCIA,1,SAO PAULO
3635,AVENIDA LUIZ GUSHIKEN,126,SAO PAULO
3646,AVENIDA DOUTOR ARNALDO,2194,SAO PAULO
3687,ESTRADA GUARULHOSNAZARE,2224,GUARULHOS
3694,RUA MARECHAL DEODORO,2134,SAO BERNARDO DO CAMPO
3701,RUA CATIGUA,100,SAO PAULO
3750,ACESSO AVENIDA DO ESTADO,1517,SAO CAETANO DO SUL
3787,RUA PAULO DO VALE,213,EMBU DAS ARTES
3790,RUA PAULO DO VALE,100,EMBU DAS ARTES
3793,RUA ACASSIO ANTONIO BATISTA,1650,GUARULHOS
3894,BR 381,100,SAO PAULO
3905,SP 230,100,TABOAO DA SERRA
3909,IMIGRANTES,160,DIADEMA
3910,ESTRADA DO PEDROSO,1120,SANTO ANDRE
3945,AVENIDA ATLANTICA,1620,SAO PAULO
3946,RUA RIO ACIMA,5910,SAO BERNARDO DO CAMPO
4003,ACESSO ALBERTO BYINGTON,1136,SAO PAULO
4012,SP 015,385,SAO PAULO
4013,ESTRADA DO PONEI CLUB,53104,SAO BERNARDO DO CAMPO
4020,ACESSO AVENIDA PROFESSOR FRANCISCO MORATO,5171,SAO PAULO
4065,AVENIDA EDE,57,SAO PAULO
4066,AVENIDA SAO LUIS,100,SAO PAULO
4125,RUA TALES DOS SANTOS FREIRE,434,SAO BERNARDO DO CAMPO
4158,AVENIDA OTAVIO BRAGA DE MESQUITA,1819,GUARULHOS
4160,RUA ZEZE MACEDO,660,SAO PAULO
4195,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1611,SAO PAULO
4197,AVENIDA FRANCISCO MARENGO,2174,SUZANO
4199,ESTRADA SANTA ISABEL,3440,ITAQUAQUECETUBA
4231,AVENIDA MARGINAL CSU,100,CARAPICUIBA
4232,AVENIDA ERNESTO SOUZA CRUZ,807,SAO PAULO
4281,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,3670,DIADEMA
4298,ESTRADA DE ITAPECERICA,3023,SAO PAULO
4300,AVENIDA ANTONIO BARBOSA DA SILVA SANDOVAL,461,SAO PAULO
4301,AVENIDA PARADA PINTO,1869,SAO PAULO
4350,RUA GUILHERME CARIJO,1500,SUZANO
4360,AVENIDA ATLANTICA,3685,SAO PAULO
4378,AVENIDA JOAO VINTE E TRES,418,SAO PAULO
4432,AVENIDA REBOUCAS,10,SAO PAULO
4441,AVENIDA GUARAPIRANGA,4135,SAO PAULO
4447,AVENIDA SPORT CLUB CORINTIANS PAULISTA,1708,OSASCO
4451,RUA PIRATININGA,800,SAO CAETANO DO SUL
4453,ESTRADA DA BARONESA,893,SAO PAULO
4460,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO
4511,AVENIDA DONA BELMIRA MARIN,48,SAO PAULO
4520,AVENIDA SARGENTO GERALDO SANTANA,1628,SAO PAULO
4521,RUA ORATORIO,3774,SANTO ANDRE
4529,AVENIDA PARADA PINTO,2035,SAO PAULO
4533,ESTRADA DO M'BOI MIRIM,8659,SAO PAULO
4537,RUA PEDRO ESCOBAR,614,SAO PAULO
4604,AVENIDA JOAO PAULO PRIMEIRO,1702,SAO PAULO
4605,ACESSO RUA DOUTOR LUIS AIRES,2199,SAO PAULO
4611,PROF ALFREDO ROLIM DE MOURA   KM 78,,BIRITIBA MIRIM
4681,PONTE ENGENHEIRO ARY TORRES,100,SAO PAULO
4701,VIADUTO DONA IGNES COLINO,10,OSASCO
4703,AVENIDA GUARAPIRANGA,2679,SAO PAULO
4705,VIADUTO MINISTRO ALIOMAR BALEEIRO,100,SAO PAULO
4708,RUA NOVA DO TUPAROQUERA,185,SAO PAULO
4766,AVENIDA PIRES DO RIO,2616,SAO PAULO
4772,RUA MARECHAL DEODORO,1226,SAO BERNARDO DO CAMPO
4775,RUA ORATORIO,2447,SANTO ANDRE
4800,AVENIDA DEPUTADO CANTIDIO SAMPAIO,1539,SAO PAULO
4801,AVENIDA DIREITOS HUMANOS,1192,SAO PAULO
4858,SP 230,10,EMBU DAS ARTES
4861,RUA INACIO MONTEIRO,6014,SAO PAULO
4940,AVENIDA ARICANDUVA,10,SAO PAULO
4957,AVENIDA JACU PESSEGO,8210,SAO PAULO
5014,RUA PILAR DO SUL,249,CARAPICUIBA
5017,AVENIDA BRIGADEIRO LUIS ANTONIO,3249,SAO PAULO
5021,AVENIDA MARECHAL CASTELO BRANCO,525,TABOAO DA SERRA
5027,ESTRADA DO MONTE NEGRO,2100,SANTA ISABEL
5029,AVENIDA ANTONIO JOAQUIM DE MOURA ANDRADE,100,SAO PAULO
5032,TUNEL FERNANDOVIEIRA DE MELLO,100,SAO PAULO
5036,AVENIDA ELISEU DE ALMEIDA,3309,SAO PAULO
5089,AVENIDA VITAL BRASIL,1350,SAO PAULO
5091,ANCHIETA QUILOMETRO 15 MARGINAL SUL,15,SAO BERNARDO DO CAMPO
5095,AVENIDA NORDESTINA,977,SAO PAULO
5103,RUA SAO BENTO,673,OSASCO
5158,AVENIDA GUILHERME,323,SAO PAULO
5210,AVENIDA MARECHAL TITO,6403,SAO PAULO
5212,AVENIDA DO ORATORIO,2022,SAO PAULO
5216,RUA JOSE MANOEL DE ALMEIDA,10,VARGEM GRANDE PAULISTA
5224,RUA AFONSINA,,SAO BERNARDO DO CAMPO
5238,VIADUTO DEPUTADO ANTONIO SYLVIO CUNHA BUENO,100,SAO PAULO
5305,AVENIDA CORONEL SEZEFREDO FAGUNDES,20980,SAO PAULO
5313,AVENIDA IPIRANGA,,SAO PAULO
5314,AVENIDA DO ORATORIO,2636,SAO PAULO
5318,AVENIDA RIO DAS PEDRAS,219,SAO PAULO
5328,AVENIDA DOM PEDRO II,2990,SANTO ANDRE
5337,VIADUTO VINTE E CINCO DE MARCO,1,SAO PAULO
5338,AVENIDA ADELIA CHOHFI,9800,SAO PAULO
5340,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
5344,RUA ITAPECERICA DA SERRA,8000,SAO PAULO
5349,RUA STELA MARIS,172,GUARULHOS
5351,RUA MIRANDINHA,737,SAO PAULO
5354,AVENIDA LUIZ GUSHIKEN,100,SAO PAULO
5402,RUA MIGUEL YUNES,1,SAO PAULO
5404,RUA VOLUNTARIOS DA PATRIA,3813,SAO PAULO
5406,AVENIDA CAMINHO DO MAR,2455,SAO BERNARDO DO CAMPO
5414,ESTRADA CANAL DE COCAIA,4700,SAO PAULO
5425,RUA VEREADOR JORGE DE SOUZA,2680,EMBU DAS ARTES
5478,ESTACAO METRO BELEM,100,SAO PAULO
5483,ALAMEDA DOM PEDRO DE ALCANTARA,1462,SAO BERNARDO DO CAMPO
5484,ESTRADA DOS ALVARENGAS,495,SAO BERNARDO DO CAMPO
5489,AVENIDA SAO JOSE,826,OSASCO
5555,AVENIDA VEREADOR JOAO DE LUCA,100,SAO PAULO
5556,RUA ORATORIO,1587,SANTO ANDRE
5673,RUA RUI BARBOSA,226,SAO PAULO
5679,AVENIDA ISRAEL,,FRANCO DA ROCHA
5727,ESTRADA ITAQUERA GUAIANAZES,2421,SAO PAULO
5736,RUA MONTEIRO LOBATO,2,ITAPECERICA DA SERRA
5755,AVENIDA CORONEL BERTOLDO,100,SANTA ISABEL
5758,RUA LEON,3624,SAO BERNARDO DO CAMPO
5759,AVENIDA DOS ESTADOS,1341,SANTO ANDRE
5836,AVENIDA PIRAPORINHA,100,SAO BERNARDO DO CAMPO
5838,RUA AMARAL GURGEL,499,SAO PAULO
5842,VIELA URGA,144,GUARULHOS
5844,RUA MARECHAL LEITAO DE CARVALHO,483,SAO PAULO
5846,AVENIDA ANTONIO CARLOS BENJAMIM DOS SANTOS,90,SAO PAULO
5853,AVENIDA LIONS,1,SAO BERNARDO DO CAMPO
5861,RUA ENGENHEIRO VITOR FREIRE,100,SAO PAULO
5907,AVENIDA INCONFIDENCIA MINEIRA,1576,SAO PAULO
5909,AVENIDA FRANCISCO RODRIGUES FILHO,7170,MOGI DAS CRUZES
5924,AVENIDA WASHINGTON LUIS,6995,SAO PAULO
5932,AVENIDA ITAQUERA,5056,SAO PAULO
5936,SP 070,10,GUARULHOS
5938,RUA ATLANTICA,3453,SAO PAULO
5982,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO
5990,AVENIDA SANTA CATARINA,2525,SAO PAULO
5991,AVENIDA PRESIDENTE DOUTOR TANCREDO DE ALMEIDA NEVE,150,OSASCO
5993,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,7000,DIADEMA
5995,VIADUTO TERESA DELTA,100,SAO BERNARDO DO CAMPO
6007,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
6014,SP 230,1000,TABOAO DA SERRA
6060,RUA JOSE ZAPPI,1092,SAO PAULO
6064,RUA AIRES MONTEIRO,162,ARUJA
6066,VIADUTO ANTONIO ADIBE CHAMAS,100,SANTO ANDRE
6067,RUA PILAR DO SUL,248,CARAPICUIBA
6081,PONTE DOS REMEDIOS,1274,SAO PAULO
6121,SP 230,10,ITAPECERICA DA SERRA
6134,ESTRADA KIZAEMON TAKEUTI,3261,TABOAO DA SERRA
6136,RUA CORONEL SEABRA,,SANTO ANDRE
6140,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO
6212,ACESSO AVENIDA DO ESTADO,100,SAO CAETANO DO SUL
6217,ACESSO AVENIDA ANTONIO ESTEVAO DE CARVALHO,100,SAO PAULO
6221,AVENIDA PIRES DO RIO,3122,SAO PAULO
6223,AVENIDA DO CURSINO,3023,SAO PAULO
6226,SP 280,,SANTANA DE PARNAIBA
6231,ESTRADA DO ELENCO,4719,GUARULHOS
6232,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO
6296,ESTRADA NOSSA SENHORA DE FATIMA,201,COTIA
6300,ACESSO AVENIDA ARICANDUVA,4500,SAO PAULO
