,Logradouro,Numero/KM,Município
15653,VIADUTO ANTONIO ADIBE CHAMAS,1,SANTO ANDRE
15665,AVENIDA MORUMBI,8502,SAO PAULO
15731,AVENIDA CONCEICAO,100,DIADEMA
15734,AVENIDA ENGENHEIRO CAETANO ALVARES,,SAO PAULO
15748,AVENIDA MARGINAL,1455,CARAPICUIBA
15749,PRESIDENTE DUTRA BR 116,10,GUARULHOS
15752,AVENIDA CONDE DE FRONTIN,1569,SAO PAULO
15770,VIADUTO JULIO MESQUITA FILHO,111,SAO PAULO
15771,ACESSO DOUTOR EDUARDO COTCHING,804,SAO PAULO
15773,VIADUTO JULIO MESQUITA FILHO,10,SAO PAULO
15841,AVENIDA ARRAIAS DO ARAGUAIA,100,SAO PAULO
15843,AVENIDA DOS ESTADOS,4555,SANTO ANDRE
15854,AVENIDA IBIRAMA,517,TABOAO DA SERRA
15917,ESTRADA DA BARONESA,991,SAO PAULO
15925,RUA MONSENHOR ANDRADE,,SAO PAULO
15926,AVENIDA MORUMBI,100,SAO PAULO
15928,RUA PAULO DO VALE,213,EMBU DAS ARTES
15937,AVENIDA NOVA ARCADIA,1200,SAO PAULO
15939,AVENIDA SAO JOAO,1050,SAO PAULO
15944,AVENIDA ANTONIO SILVIO CUNHA BUENO,1693,DIADEMA
16003,ACESSO MAUA,10,MAUA
16018,AVENIDA INTERLAGOS,6330,SAO PAULO
16025,AVENIDA ELISEU DE ALMEIDA,,SAO PAULO
16030,AVENIDA MARGINAL CSU,1000,CARAPICUIBA
16077,AVENIDA PARADA PINTO,2446,SAO PAULO
16081,AVENIDA DOS ESTADOS,5989,SANTO ANDRE
16086,AVENIDA ALCANTARA MACHADO,,SAO PAULO
16098,ESTRADA DA ROSEIRA,10048,MAIRIPORA
16147,AVENIDA SAPOPEMBA,30000,SAO PAULO
16157,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
16165,RUA SCHWARTZMANN,,MOGI DAS CRUZES
16166,ESTRADA DOS ALVARENGAS,3141,SAO BERNARDO DO CAMPO
16168,AVENIDA DOS BANDEIRANTES,1440,SAO PAULO
16233,AVENIDA DOUTOR HUGO BEOLCHI,10,SAO PAULO
16247,RUA TOMAS RIBEIRO COLACO,623,SAO PAULO
16248,RUA DO PLANALTO,476,SUZANO
16249,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4169,SAO BERNARDO DO CAMPO
16252,AVENIDA GETULIO VARGAS,893,SAO BERNARDO DO CAMPO
16253,AVENIDA DOUTOR SYLVIO DE CAMPOS,100,SAO PAULO
16261,SP 015,635,SAO PAULO
16318,RUA SAO CAETANO,213,EMBU DAS ARTES
16320,AVENIDA DIOGENES RIBEIRO DE LIMA,2991,SAO PAULO
16322,AVENIDA DOS BANDEIRANTES,100,SAO PAULO
16332,AVENIDA PACAEMBU,1553,SAO PAULO
16340,LARGO CONSELHEIRO MOREIRA DE BARROS,2390,SAO PAULO
16341,RUA BEIJAFLOR,938,COTIA
16406,ESTRADA DE SANTA INES,10,CAIEIRAS
16410,RUA CONDE MOREIRA LIMA,446,SAO PAULO
16411,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
16415,ACESSO AVENIDA DOUTOR GUILHERME DUMONT VILLARES,1930,SAO PAULO
16457,SP 015,514,SAO PAULO
16459,AVENIDA JACU PESSEGO,1400,SAO PAULO
16461,RUA CERRO CORA,586,SAO PAULO
16464,AVENIDA CONCEICAO,1253,SAO PAULO
16472,RUA ARTUR FERREIRA DE ABREU,100,SAO PAULO
16483,AVENIDA MARECHAL TITO,2614,SAO PAULO
16533,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO
16535,ESTRADA DE ITAPECERICA,1000,EMBU DAS ARTES
16537,AVENIDA JORNALISTA PAULO ZINGG,301,SAO PAULO
16540,RUA JOAO PAULO,1575,SAO PAULO
16552,RUA JAMIL JOAO ZARIFE,1381,GUARULHOS
16556,RUA SALVADOR RIPOLI,2615,RIBEIRAO PIRES
16559,VIADUTO DO GLICERIO,10,SAO PAULO
16561,AVENIDA SEBASTIAO DAVINO DOS REIS,999,BARUERI
16565,ESTRADA DA BARONESA,1,SAO PAULO
16618,AVENIDA NOVE DE JULHO,900,ITAPECERICA DA SERRA
16623,RUA BUTIA,415,SAO PAULO
16630,AVENIDA JOAO PAULO PRIMEIRO,100,SAO PAULO
16635,AVENIDA MARIA SERVIDEI DEMARCHE,100,SAO BERNARDO DO CAMPO
16714,RUA MANOEL FERREIRA PIRES,169,SAO PAULO
16783,IMIGRANTES,100,SAO PAULO
16792,AVENIDA IBIRAMA,100,TABOAO DA SERRA
16794,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,5068,SANTO ANDRE
16798,ESTRADA DO MONTANHAO,4000,SAO BERNARDO DO CAMPO
16809,AVENIDA YERVANT KISSAJIKIAN,1405,SAO PAULO
16816,RUA PILAR DO SUL,100,CARAPICUIBA
16820,ESTRADA DE SAO BENTO,2470,ITAQUAQUECETUBA
16888,RUA RIACHAO JACUIPE,214,GUARULHOS
16903,AVENIDA ORLANDA BERGAMO,1032,GUARULHOS
16906,RUA CANTAGALO,,SAO PAULO
16926,AVENIDA PRESIDENTE JOAO GOULART,100,SAO PAULO
16973,SP 088,,MOGI DAS CRUZES
16985,AVENIDA BENEDITA FRANCO DA VEIGA,269,MAUA
17047,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
17064,AVENIDA PROFESSOR FRANCISCO MORATO,3757,SAO PAULO
17068,ACESSO AVENIDA SPORT CLUB CORINTIANS PAULISTA,10,OSASCO
17069,AVENIDA CONDE DE FRONTIN,,SAO PAULO
17076,AVENIDA ESCOLA POLITECNICA,,SAO PAULO
17077,AVENIDA IBIRAMA,100,TABOAO DA SERRA
17081,ESTRADA DO PEDROSO,100,SANTO ANDRE
17129,AVENIDA INAJAR DE SOUZA,,SAO PAULO
17136,RUA FLORIDA,1254,SAO PAULO
17137,AVENIDA DOS BANDEIRANTES,5790,SAO PAULO
17142,AVENIDA GOVERNADOR CARVALHO PINTO,10,SAO PAULO
17144,SP 150,,SAO BERNARDO DO CAMPO
17204,ESTRADA DE ITAPECERICA,2405,SAO PAULO
17209,AVENIDA SAO GUALTER,286,SAO PAULO
17210,RUA DOUTOR ABELARDO VERGUEIRO CESAR,1680,SAO PAULO
17219,AVENIDA DOUTOR LAURO PARENTE,1337,SAO PAULO
17220,AVENIDA DO ORATORIO,4392,SAO PAULO
17266,SP 031,2500,RIBEIRAO PIRES
17276,RUA JOAO AMOS COMENIUS,1015,SAO PAULO
17281,SP 031,,RIBEIRAO PIRES
17282,RUA CORONEL SILVA CASTRO,184,SAO PAULO
17284,AVENIDA PEREIRA BARRETO,100,SANTO ANDRE
17356,AVENIDA ALDA,5550,DIADEMA
17365,AVENIDA DOM PEDRO II,365,SANTO ANDRE
17370,AVENIDA DO CURSINO,900,SAO PAULO
17374,PARQUE DOM PEDRO II,3350,SAO PAULO
17385,RUA PEDRO DE TOLEDO,,SAO PAULO
17453,AVENIDA ELISEU DE ALMEIDA,100,SAO PAULO
17454,RUA MAJOR LUCIO DIAS RAMOS,381,SAO PAULO
17460,ESTRADA DO M'BOI MIRIM,8702,SAO PAULO
17473,RUA JURUBATUBA,122,SAO BERNARDO DO CAMPO
17476,RUA FUNCHAL,500,SAO PAULO
17485,RUA ANTONIO DE BARROS,1155,SAO PAULO
17534,PRESIDENTE DUTRA BR 116,221,GUARULHOS
17538,SP 228,1,ITAPECERICA DA SERRA
17539,SP 070,14.8,SAO PAULO
17545,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO
17547,AVENIDA GUIDO ALIBERTI,25,SAO CAETANO DO SUL
17548,AVENIDA TIRADENTES,108,SAO PAULO
17552,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
17557,AVENIDA MARCOS PAULO GONCALVES,1315,GUARULHOS
17630,RUA PEDRO VICENTE,,SAO PAULO
17639,RUA LEONILDA,496,SANTO ANDRE
17684,AVENIDA WASHINGTON LUIS,7041,SAO PAULO
17698,AVENIDA DOS BANDEIRANTES,5201,SAO PAULO
17746,AVENIDA MARGINAL,101,CARAPICUIBA
17765,RUA RIACHAO JACUIPE,692,GUARULHOS
17830,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
17882,SP 031,100,RIBEIRAO PIRES
17883,ACESSO  M BOI MIRIM,9760,SAO PAULO
17886,AVENIDA ESCOLA POLITECNICA,,SAO PAULO
17893,PRACA DOUTOR JOAO MENDES,100,SAO PAULO
17896,AVENIDA WASHINGTON LUIS,,SAO PAULO
17975,AVENIDA MARGINAL DO RIO PINHEIROS,10,SAO PAULO
17997,AVENIDA MARGINAL DIREITA,56,BARUERI
18004,RUA SALVADOR DALI,2000,SAO PAULO
18063,RUA DAS PALMEIRAS,230,SAO PAULO
18075,AVENIDA DOS OURIVES,100,SAO PAULO
18136,SP 070,11,SAO PAULO
18139,AVENIDA YOJIRO TAKAOKA,10,SANTANA DE PARNAIBA
18141,SP 015,226,SAO PAULO
18150,AVENIDA JOAO VENTURA DOS SANTOS,2674,OSASCO
18153,SP 015,279,SAO PAULO
18163,AVENIDA CIDADE JUDAIDET MARJAYOUN,2000,SAO PAULO
18207,RUA ALEXANIA,,GUARULHOS
18209,ESTRADA DO SURU,5123,SANTANA DE PARNAIBA
18215,AVENIDA ARICANDUVA,100,SAO PAULO
18309,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO
18310,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO
18315,AVENIDA SENADOR TEOTONIO VILELA,8400,SAO PAULO
18457,AVENIDA ELISEU DE ALMEIDA,1575,SAO PAULO
18504,VIADUTO ENGENHEIRO ALBERTO BADRA,100,SAO PAULO
18514,RUA NARUMI NAKAIAMA,902,EMBU DAS ARTES
18517,AVENIDA VINTE E TRES DE MAIO,1,SAO PAULO
18528,AVENIDA PRESIDENTE TANCREDO NEVES,100,VARGEM GRANDE PAULISTA
18530,RUA VALDOMIRO CAVAZANI,597,OSASCO
18571,AVENIDA DEPUTADO EMILIO CARLOS,740,SAO PAULO
18573,ESTRADA DOS ALVARENGAS,53249,SAO BERNARDO DO CAMPO
18576,RUA NEPAL,800,SANTO ANDRE
18581,AVENIDA MARGINAL DO RIO BAQUIRIVU,1000,GUARULHOS
18583,SP 088,32.6,ARUJA
18592,AVENIDA INCONFIDENCIA MINEIRA,1737,SAO PAULO
18639,ESTRADA DE ITAPECERICA,1983,EMBU DAS ARTES
18644,AVENIDA DONA BELMIRA MARIN,4215,SAO PAULO
18710,AVENIDA DOS BANDEIRANTES,5692,SAO PAULO
18714,AVENIDA ELISEU DE ALMEIDA,100,SAO PAULO
18748,AVENIDA DOS BANDEIRANTES,5837,SAO PAULO
18749,ESTRADA DO MONTANHAO,6401,SAO BERNARDO DO CAMPO
18815,SP 031,2340,RIBEIRAO PIRES
18831,SP 354,38,FRANCO DA ROCHA
18914,PRACA DA BANDEIRA,215,SAO PAULO
18924,RUA RIO BRANCO,586,MAUA
18990,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
18992,ALAMEDA JAU,256,SAO PAULO
19004,AVENIDA BRIGADEIRO FARIA LIMA,2421,SAO BERNARDO DO CAMPO
19057,AVENIDA BRIGADEIRO FARIA LIMA,124,GUARULHOS
19114,SP 015,120,SAO PAULO
19119,RUA DOUTOR LUIZ MIGLIANO,181,SAO PAULO
19125,RUA DOUTOR MOISES KAHAN,460,SAO PAULO
19129,IMIGRANTES,,SAO PAULO
19174,AVENIDA ARICANDUVA,12000,SAO PAULO
19175,AVENIDA BRAZ LEME,998,SAO PAULO
19178,AVENIDA DOS AUTONOMISTAS,4001,OSASCO
19215,ALAMEDA ARAGUAIA,2799,BARUERI
19216,AVENIDA RIBEIRAO ITAQUERA,2790,SAO PAULO
19220,AVENIDA MARCELINO BRECIANI,350,CAIEIRAS
19224,ACESSO AVENIDA PRESIDENTE MEDICE,2793,OSASCO
19295,SP 031,99,RIBEIRAO PIRES
19299,RUA INOCENCIO SERAFICO,4655,SAO PAULO
19302,RUA ALTINOPOLIS,,SAO PAULO
19385,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,1484,GUARULHOS
19393,AVENIDA SAPOPEMBA,6543,SAO PAULO
19396,ESTRADA MUNICIPAL,1733,SANTANA DE PARNAIBA
19400,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,16741,SAO PAULO
19401,ESTRADA GOVERNADOR MARIO COVAS JUNIOR,100,ITAQUAQUECETUBA
19527,AVENIDA GUAPIRA,100,SAO PAULO
19542,LARGO UBIRAJARA,,SAO PAULO
19593,AVENIDA CARLOS LACERDA,10,SAO PAULO
19599,AVENIDA ALDA,1878,DIADEMA
19600,AVENIDA DOUTOR EDUARDO COTCHING,1290,SAO PAULO
19604,ALAMEDA SANTO AMARO,113,SAO PAULO
19607,VIADUTO DO GLICERIO,1,SAO PAULO
19617,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO
19676,AVENIDA SANTOS DUMONT,,SAO PAULO
19678,VIADUTO MIGUEL MOFARREJ,1,SAO PAULO
19684,RUA PINDORAMA,527,SANTO ANDRE
19781,RUA LUIS GOIS,10,SAO PAULO
19788,AVENIDA ANTONIO SILVIO CUNHA BUENO,1692,DIADEMA
19794,ESTACAO METRO PATRIARCA,1,SAO PAULO
19862,ACESSO DOUTOR EDUARDO COTCHING,1578,SAO PAULO
19865,AVENIDA ESCOLA POLITECNICA,,SAO PAULO
19873,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
19924,RUA VINTE E DOIS DE AGOSTO,265,SAO PAULO
19926,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
19928,RUA JOSE BENICIO DOS SANTOS,51,CARAPICUIBA
19929,ESTRADA DO CAMPO LIMPO,4577,SAO PAULO
19932,AVENIDA MARGINAL DO RIBEIRAO,4833,CARAPICUIBA
19949,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
19989,RUA EDUARDO CHAVES,200,SANTO ANDRE
19991,RUA CONDE MOREIRA LIMA,936,SAO PAULO
20004,SP 015,661,SAO PAULO
20006,AVENIDA MORUMBI,8471,SAO PAULO
20040,RUA JORGE MIRANDA,1,SAO PAULO
20041,RUA ANTONIO BEZERRA,386,SAO PAULO
20044,AVENIDA CORONEL SEZEFREDO FAGUNDES,7000,SAO PAULO
20047,ESTACAO METRO BELEM,10,SAO PAULO
20089,RUA JOSE FELIX,189,SAO PAULO
20098,AVENIDA PEDRO MACHADO,1,MOGI DAS CRUZES
20156,AVENIDA INOCENCIO SERAFICO,9575,CARAPICUIBA
20166,AVENIDA PEREIRA BARRETO,1501,SANTO ANDRE
20248,ACESSO AVENIDA JOSE PINHEIRO BORGES,60,SAO PAULO
20253,AVENIDA AFONSO DE SAMPAIO E SOUSA,100,SAO PAULO
20260,RUA DAS TRES MARIAS,213,ITAPECERICA DA SERRA
20346,AVENIDA PROFESSOR FRANCISCO MORATO,4131,SAO PAULO
20393,AVENIDA INTERCONTINENTAL,1208,SAO PAULO
20396,RUA ANGELO DEL DEBRIO,1705,FRANCO DA ROCHA
20404,RUA VOLUNTARIOS DA PATRIA,3812,SAO PAULO
20438,ESTACAO METRO BELEM,10,SAO PAULO
20441,AVENIDA SALIM FARAH MALUF,100,SAO PAULO
20448,AVENIDA CONDE DE FRONTIN,10,SAO PAULO
20457,ESTRADA DO M'BOI MIRIM,6982,SAO PAULO
20506,ESTRADA DAS PITAS,1770,ITAPEVI
20519,AVENIDA BRIGADEIRO FARIA LIMA,,SAO BERNARDO DO CAMPO
20559,ACESSO AVENIDA PADRE ANCHIETA,13,SAO BERNARDO DO CAMPO
20568,ESTRADA DO M'BOI MIRIM,7000,SAO PAULO
20619,ALAMEDA DOM PEDRO DE ALCANTARA,1432,SAO BERNARDO DO CAMPO
20658,RUA VOLUNTARIOS DA PATRIA,100,SAO PAULO
20661,AVENIDA PRESIDENTE TANCREDO NEVES,1000,VARGEM GRANDE PAULISTA
20710,AVENIDA BRASIL,10,SAO PAULO
20727,AVENIDA PADRE VICENTE MELILO,100,OSASCO
20758,ACESSO RUA GEOVANE BATISTA PIRELI,2000,SANTO ANDRE
20762,AVENIDA DOUTOR EDUARDO COTCHING,678,SAO PAULO
20765,AVENIDA SANTA CATARINA,1,BARUERI
20774,RUA SERRA DA QUEIMADA,800,SAO PAULO
20780,AVENIDA DOUTOR FRANCISCO RANIERI,911,SAO PAULO
20783,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,1000,SAO PAULO
20919,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES,,SAO PAULO
20923,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO
20966,AVENIDA CORONEL SEZEFREDO FAGUNDES,19000,SAO PAULO
20971,AVENIDA ALBERTO SOARES SAMPAIO,100,MAUA
20972,AVENIDA GAGO COUTINHO,100,SANTO ANDRE
20975,AVENIDA IMIRIM,1854,SAO PAULO
21021,AVENIDA ARICANDUVA,,SAO PAULO
21043,AVENIDA IMPERADOR,3183,SAO PAULO
21049,ACESSO BR 116,,GUARULHOS
21061,SP 280,10,SAO PAULO
21102,AVENIDA DONA BELMIRA MARIN,100,SAO PAULO
21183,AVENIDA SAPOPEMBA,2504,SAO PAULO
21184,VIADUTO ANTARTICA,100,SAO PAULO
21190,AVENIDA SAPOPEMBA,1002,SAO PAULO
21192,RUA CORNELIO DE ARZAO,1511,SAO PAULO
21243,ESTRADA PROFESSOR LAUDELINO ALVES FERREIRA,1278,FRANCO DA ROCHA
21246,ESTRADA DE ITAPECERICA,3023,SAO PAULO
21308,AVENIDA JOSE MARIA WHITAKER,1365,SAO PAULO
21309,AVENIDA MORUMBI,6839,SAO PAULO
21353,SP 015,661,SAO PAULO
21356,AVENIDA MUTINGA,364,SAO PAULO
21357,ESTRADA DE MOGI DAS CRUZES,1300,SAO PAULO
21409,ALAMEDA AMERICA,100,SANTANA DE PARNAIBA
21410,ACESSO SAO MIGUEL,4662,SAO PAULO
21416,AVENIDA SILVESTRE PIRES DE FREITAS,100,GUARULHOS
21476,ESTRADA DA LAGOA,2577,VARGEM GRANDE PAULISTA
21489,SP 015,608,SAO PAULO
21539,AVENIDA ARICANDUVA,11200,SAO PAULO
21606,AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO
21657,AVENIDA CONDE DE FRONTIN,10,SAO PAULO
21668,ESTRADA DA BARONESA,1012,SAO PAULO
21720,SP 088,,MOGI DAS CRUZES
21723,AVENIDA BRIGADEIRO LUIS ANTONIO,3250,SAO PAULO
21753,RUA GOMES DE CARVALHO,491,SAO PAULO
21755,AVENIDA MARECHAL TITO,2614,SAO PAULO
21792,ESTRADA ENGENHEIRO MARCILAC,14487,SAO PAULO
21794,PRESIDENTE PRESIDENTE CASTELLO BRANCO,,BARUERI
21795,AVENIDA DOUTOR EDUARDO COTCHING,410,SAO PAULO
21852,ESTRADA DE ITAPECERICA,10000,SAO PAULO
21896,TERMINAL PARELHEIROS,100,SAO PAULO
21942,SP 015,300,SAO PAULO
21944,AVENIDA QUEIROS DOS SANTOS,1,SANTO ANDRE
21970,RUA SERGIO SHIGERU HARADA,1556,CAJAMAR
21973,ACESSO AVENIDA PAES DE BARROS,10,SAO PAULO
21980,RUA KUMAKI AOKI,363,SAO PAULO
22047,ESTRADA DA BARONESA,639,SAO PAULO
22051,ACESSO AVENIDA PRESIDENTE JOAO CAFE FILHO,100,SAO BERNARDO DO CAMPO
22052,AVENIDA PRESTES MAIA,100,SAO PAULO
22096,VIADUTO FREDERICO EDUARDO MAYR,100,SAO PAULO
22097,SP 019,2,GUARULHOS
22099,RUA MALMEQUERDOCAMPO,1610,SAO PAULO
22105,RUA PIRAPORINHA,1112,SAO PAULO
22112,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO
22115,ESTRADA CAUCAIA DO ALTO,3350,COTIA
22138,RUA BERNARDO DADDI,,SAO PAULO
22148,AVENIDA RENOVA DOS SANTOS,100,ARUJA
22195,RUA MARIA BATISTA,241,SAO PAULO
22197,RUA CAFE FILHO,340,SAO BERNARDO DO CAMPO
22199,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
22202,AVENIDA JOSE PINHEIRO BORGES,10,SAO PAULO
22256,RUA SAO CAETANO,939,EMBU DAS ARTES
22322,AVENIDA FRANCISCO RODRIGUES FILHO,100,MOGI DAS CRUZES
22325,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
22328,ACESSO AVENIDA PERI RONCHETTI,635,SAO PAULO
22364,AVENIDA JACU PESSEGO,3788,SAO PAULO
22372,AVENIDA RUI BARBOSA,2337,CARAPICUIBA
22457,AVENIDA JEAN LIEUTAUD,100,RIO GRANDE DA SERRA
22458,ESTRADA DA CAMA PATENTE,2400,SAO BERNARDO DO CAMPO
22463,AVENIDA DONA BELMIRA MARIN,1036,SAO PAULO
22480,ACESSO VIADUTO ENGENHEIRO ALBERTO BADRA,1,SAO PAULO
22521,RUA EDSON,100,SAO PAULO
22525,RUA EDMUNDO CARVALHO,129,SAO PAULO
22572,VIADUTO DO GLICERIO,100,SAO PAULO
22578,RUA DOS APIARIS,431,SAO PAULO
22611,ESTRADA DO M'BOI MIRIM,1100,SAO PAULO
22612,AVENIDA GENERAL ASDRUBAL DA CUNHA,785,SAO PAULO
22623,AVENIDA ODAIR PACHECO PEDROSO,1000,EMBU DAS ARTES
22628,AVENIDA EMILIO RIBAS,100,GUARULHOS
22670,IMIGRANTES,10,SAO PAULO
22683,RUA JOAQUIM MOREIRA,648,GUARULHOS
22747,AVENIDA ARICANDUVA,12050,SAO PAULO
22754,AVENIDA PEDROSO DE MORAIS,777,SAO PAULO
22761,AVENIDA ROTARY,2335,EMBU DAS ARTES
22763,VIADUTO DO GLICERIO,1,SAO PAULO
22780,AVENIDA ARICANDUVA,12050,SAO PAULO
22865,AVENIDA ELISIO TEIXEIRA LEITE,4184,SAO PAULO
22894,ESTRADA PEDREIRA ALVARENGA,2568,DIADEMA
22904,AVENIDA CARLOS CALDEIRA FILHO,13500,SAO PAULO
22905,AVENIDA MENDES DA ROCHA,529,SAO PAULO
22995,AVENIDA TRINTA E UM DE MARCO,2421,SAO BERNARDO DO CAMPO
23004,AVENIDA DOUTOR TIMOTEO PENTEADO,3607,GUARULHOS
23054,SP 031,,SUZANO
23099,ALAMEDA JAUAPERI,,SAO PAULO
23106,RUA GARCIA DE ORTA,953,SAO PAULO
23110,AVENIDA NOSSA SENHORA DO O,177,SAO PAULO
23115,ESTRADA DE SANTA ISABEL,11,ARUJA
23163,PRACA EMBAIXADOR CIRO DE FREITAS VALLE,10,SAO PAULO
23201,RUA PAULO DO VALE,100,EMBU DAS ARTES
23211,PRESIDENTE PRESIDENTE CASTELLO BRANCO   KM 27 9 OESTE,,BARUERI
23213,AVENIDA FABIO EDUARDO RAMOS ESQUIVEL,100,DIADEMA
23226,ACESSO AVENIDA RAGUEB CHOHFI,3797,SAO PAULO
23233,PONTE PRESIDENTE DUTRA,222,SAO PAULO
23261,AVENIDA ARICANDUVA,5650,SAO PAULO
23316,RUA DO MANIFESTO,3032,SAO PAULO
23334,AVENIDA ENGENHEIRO CAETANO ALVARES,100,SAO PAULO
23380,ESTRADA DE ITAPECERICA,5360,SAO PAULO
23388,RUA CONSOLACAO,100,CARAPICUIBA
23395,AVENIDA JOSE PINHEIRO BORGES,1,SAO PAULO
23407,AVENIDA NATALIA ZARIF,1,GUARULHOS
23426,AVENIDA DO ORATORIO,4391,SAO PAULO
23439,RUA INGLESA,300,SAO PAULO
23471,RUA PAOLO PORPORA,406,SAO PAULO
23518,AVENIDA ESCOLA POLITECNICA,100,SAO PAULO
23519,AVENIDA EDSON DANILO DOTTO,100,SANTO ANDRE
23566,AVENIDA CASA GRANDE,2571,DIADEMA
23597,RUA GIUSEPPE PIERMARINI,200,SAO PAULO
23605,ESTRADA DE ITAPECERICA,12550,SAO PAULO
23657,AVENIDA ATLANTICA,211,SANTO ANDRE
23691,VELHA MOGISUZANO,,SUZANO
23744,PARQUE RAPOSO TAVARES,12,SAO PAULO
23756,AVENIDA DO ORATORIO,2635,SAO PAULO
23790,RUA BELA VISTA DO PARAISO,100,GUARULHOS
23890,AVENIDA JACU PESSEGO,201,SAO PAULO
23941,AVENIDA TRANSGUARULHENSE,983,GUARULHOS
23948,AVENIDA IMIRIM,,SAO PAULO
23955,AVENIDA JORNALISTA ROBERTO MARINHO,100,SAO PAULO
23957,RUA DOUTOR LUIZ MIGLIANO,1870,SAO PAULO
23996,AVENIDA MARGINAL CSU,425,CARAPICUIBA
24041,RUA ARICANGA,571,SAO PAULO
24047,VIADUTO JULIO MESQUITA FILHO,100,SAO PAULO
24050,AVENIDA ATLANTICA,3999,SAO PAULO
24055,AVENIDA SANTA CATARINA,2526,SAO PAULO
24056,AVENIDA ALDINO PINOTTI,601,SAO BERNARDO DO CAMPO
24062,AVENIDA LAURO GOMES,,SAO BERNARDO DO CAMPO
24084,ACESSO PARA O  MARIO COVAS,1000,SAO BERNARDO DO CAMPO
24134,RUA MIGUEL YUNES,,SAO PAULO
24140,AVENIDA IBIRAMA,100,TABOAO DA SERRA
24144,AVENIDA ARICANDUVA,12000,SAO PAULO
24152,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,3005,SAO BERNARDO DO CAMPO
24212,AVENIDA SANTO ANDRE,100,RIBEIRAO PIRES
24220,RUA DOUTOR JOSE DE PORCIUNCULA,,SAO PAULO
24227,VIADUTO DONA MORA GUIMARAES,100,SAO PAULO
24229,RUA DOUTOR JOSE SILVIO DE CAMARGO,2545,SAO PAULO
24295,RUA BENJAMIN PEREIRA,,SAO PAULO
24301,PRACA QUATORZE BIS,1,SAO PAULO
24306,AVENIDA VEREADOR JOAO DE LUCA,303,SAO PAULO
24309,RUA CARIJOS,600,SANTO ANDRE
24393,SP 088,,ARUJA
24399,AVENIDA DOS AUTONOMISTAS,671,OSASCO
24408,ACESSO MAUA,10,MAUA
24454,RUA ORLANDO VILLAS BOAS,9,SAO PAULO
24458,PONTE ENGENHEIRO ROBERTO ROSSI ZUCCOLO,10,SAO PAULO
24470,RUA DAS TRES MARIAS,,SAO PAULO
24531,ACESSO AVENIDA ITAQUERA,1,SAO PAULO
24536,AVENIDA TIRADENTES,100,GUARULHOS
24560,RUA ENGENHEIRO VITOR FREIRE,250,SAO PAULO
24564,AVENIDA ALDA,1,DIADEMA
24578,ACESSO PARA MARGINAL TIETE CENTRAL,18,SAO PAULO
24644,ESTRADA KIZAEMON TAKEUTI,3247,TABOAO DA SERRA
24646,SP 015,500,SAO PAULO
24687,RUA ALEGRE,20,SANTO ANDRE
24752,ALAMEDA SAO CAETANO,684,SANTO ANDRE
24840,RUA CURUCA,142,SAO PAULO
24844,SP 015,101,SAO PAULO
24862,ESTRADA DOS ALVARENGAS,999,SAO BERNARDO DO CAMPO
24863,VIADUTO PEDROSO,100,SAO PAULO
24867,AVENIDA ARICANDUVA,12771,SAO PAULO
24876,PRACA MARIO GARNERO,100,SAO PAULO
24878,RUA ARCELINA TEIXEIRA DA SILVA,100,SAO PAULO
24921,AVENIDA JOSE ANTONIO DE ALMEIDA AMAZONAS,100,SANTO ANDRE
24930,RUA BENEDICTO DE SOUZA BRANCO,,MOGI DAS CRUZES
24939,AVENIDA ASSEMBLEIA,10,DIADEMA
24943,MARGINAL MARGINAL TIETE CENTRAL,,SAO PAULO
24944,ALAMEDA SANTO AMARO,1,SAO PAULO
24946,RUA MANOEL AUGUSTO FERREIRINHA,853,SAO CAETANO DO SUL
25008,AVENIDA ENGENHEIRO EUSEBIO STEVAUX,1350,SAO PAULO
